Outcome	Date	Championship	Surface	Partner	Opponents in the final	Score in the final
Winner	24 September 1979	Madrid , Spain	Clay	Carlos Kirmayr	Robin Drysdale John Feaver	7–6, 6–4
Runner-up	8 October 1979	Barcelona , Spain	Clay	Carlos Kirmayr	Paolo Bertolucci Adriano Panatta	4–6, 3–6
Runner-up	8 June 1981	Brussels , Belgium	Clay	Carlos Kirmayr	Ricardo Cano Andrés Gómez	2–6, 2–6
Runner-up	18 January 1982	Guarujá , Brazil	Clay	Carlos Kirmayr	Phil Dent Kim Warwick	7–6, 2–6, 3–6
Winner	7 June 1982	Venice , Italy	Clay	Carlos Kirmayr	José Luis Clerc Ilie Năstase	6–4, 6–2
Runner-up	4 October 1982	Barcelona, Spain	Clay	Carlos Kirmayr	Anders Järryd Hans Simonsson	3–6, 2–6
Winner	15 November 1982	São Paulo , Brazil	Clay	Carlos Kirmayr	Peter McNamara Ferdi Taygan	6–3, 6–1
Winner	4 April 1983	Lisbon , Portugal	Clay	Carlos Kirmayr	Pavel Složil Ferdi Taygan	7–5, 6–4
Winner	11 July 1983	Boston , U.S.	Clay	Mark Dickson	Hans Gildemeister Belus Prajoux	7–5, 6–3
Winner	18 July 1983	Washington, D.C.	Clay	Mark Dickson	Paul McNamee Ferdi Taygan	6–2, 1–6, 6–4
Runner-up	1 August 1983	Indianapolis , U.S.	Clay	Carlos Kirmayr	Mark Edmondson Sherwood Stewart	3–6, 2–6
Runner-up	15 August 1983	Cincinnati , U.S.	Hard	Carlos Kirmayr	Victor Amaya Tim Gullikson	4–6, 3–6
Runner-up	17 October 1983	Vienna , Austria	Carpet	Marcos Hocevar	Mel Purcell Stan Smith	3–6, 4–6
Runner-up	30 July 1984	North Conway , U.S.	Clay	Blaine Willenborg	Brian Gottfried Tomáš Šmíd	4–6, 2–6
Winner	22 April 1985	Marbella , Spain	Clay	Andrés Gómez	Loïc Courteau Michiel Schapers	6–1, 6–1
Runner-up	16 September 1985	Geneva , Switzerland	Clay	Carlos Kirmayr	Sergio Casal Emilio Sánchez	4–6, 6–4, 5–7
Winner	26 January 1987	Guarujá , Brazil	Hard	Luiz Mattar	Martin Hipp Tore Meinecke	7–6, 6–1
Winner	10 July 1989	Gstaad , Switzerland	Clay	Todd Witsken	Petr Korda Milan Šrejber	6–4, 6–3
Runner-up	5 February 1990	Guarujá, Brazil	Hard	Luiz Mattar	Javier Frana Gustavo Luza	6–7, 6–7
Runner-up	16 March 1990	Miami , U.S.	Hard	Boris Becker	Rick Leach Jim Pugh	4–6, 6–3, 3–6
Winner	29 April 1991	Madrid, Spain	Clay	Gustavo Luza	Luiz Mattar Jaime Oncins	6–0, 7–5
Runner-up	6 May 1991	Hamburg , Germany	Clay	Danie Visser	Sergio Casal Emilio Sánchez	6–4, 3–6, 2–6
Runner-up	4 November 1991	São Paulo , Brazil	Hard	Jorge Lozano	Andrés Gómez Jaime Oncins	5–7, 4–6
