Event	Record	Nationality	Date	Games
100 m	10.34	Jamaica	7 April 2007	2007 Providenciales
200 m	20.84 (+1.2m/s)	Jamaica	5 April 2010	2010 Georgetown
400 m	47.33	Jamaica	30 March 2002	2002 Nassau
800 m	1:51.79	Barbados	25 April 2011	2011 Montego Bay
1500 m	4:00.04	Jamaica	7 April 2007	2007 Providenciales
3000 m	8:46.49	Jamaica	8 April 2007	2007 Providenciales
5000 m	16:11.01	Grenada	4 April 1999	1999 Fort-de-France
100 m hurdles	12.88	Bahamas	24 March 2008	2008 Basseterre
110 m hurdles (91.4cm)	13.75 (-0.2m/s)	Guadeloupe	25 April 2011	2011 Montego Bay
400 m hurdles	52.75	Bahamas	4 April 2010	2010 Georgetown
High jump	2.13 m	Bahamas	7 April 2007	2007 Providenciales
Long jump	7.83 m	Cayman Islands	March 1989	1989 Bridgetown
Triple jump	15.19 m	Suriname	30 March 2013	2013 Nassau
Shot put	17.42 m	Jamaica	24 April 2011	2011 Montego Bay
Discus throw	52.99 m	Jamaica	5 April 2010	2010 Georgetown
Javelin throw (700 g)	64.01 m	Grenada	30 March 2013	2013 Nassau
4×100 m relay	40.76	Jamaica	12 April 2009	2009 Vieux Fort
4×400 m relay	3:14.52	Jamaica	9 April 2012	2012 Hamilton
