Name	Years	Gender	Area	Authority	Decile	Roll
Ardgowan School	1–8	Coed	Oamaru	State	7	121
Duntroon School	1–8	Coed	Duntroon	State	5	63
East Otago High School	7–15	Coed	Palmerston	State	5	196
Fenwick School	1–6	Coed	Oamaru	State	6	280
Five Forks School	1–8	Coed	Kakanui Valley	State	10	40
Flagswamp School	1–6	Coed	Waikouaiti	State	7	12
Hampden School	1–8	Coed	Hampden	State	5	40
Kakanui School	1–8	Coed	Kakanui	State	4	19
Macraes Moonlight School	1–8	Coed	Macraes Flat	State	7	13
Maheno School	1–8	Coed	Maheno	State	5	42
Oamaru Intermediate	7–8	Coed	Oamaru	State	5	263
Oamaru North School	1–6	Coed	Oamaru	State	4	148
Omarama School	1–8	Coed	Omarama	State	6	29
Palmerston School	1–6	Coed	Palmerston	State	6	111
Papakaio School	1–8	Coed	Papakaio	State	8	118
Pembroke School	1–6	Coed	Oamaru	State	3	234
St Joseph's School	1–8	Coed	Oamaru	State integrated	6	219
St Kevin's College	9–15	Coed	Oamaru	State integrated	7	407
Totara School	1–8	Coed	Alma	State	6	55
Waitaki Boys' High School	9–13	Boys	Oamaru	State	6	517
Waitaki Girls' High School	9–15	Girls	Oamaru	State	6	436
Waitaki Valley School	1–8	Coed	Kurow	State	10	108
Weston School	1–8	Coed	Weston	State	7	219
