Contestant	Age	Height	Starting BMI	Finale BMI	Reunion BMI	Start Weight	Finale Weight	Reunion Weight	lbs lost finale	lbs lost reunion
Ruben	43	6'0"	42.6	32.5	30.4	314.3	239.9	224.3	74.4	90
Pinky	29	5'3"	33.1	27.7	27.4	186.9	156.6	154.9	30.3	32
Shayla	27	5'7"	32.3	26.8	24.5	206.5	170.9	156.5	35.6	50
Alicia	23	5'4"	44.2	35.9	28.8	257.6	209.4	167.6	48.2	90
Mara	32	5'2"	47.9	42.1	39.9	261.9	230.4	217.9	31.5	44
Trice	24	5'3"	48.7	41.7	36.5	274.9	235.5	205.9	39.4	69
Miles	29	5'10"	37.4	30.9	24.5	260.8	215.5	170.8	45.3	90
Brandon	20	5'6"	37.2	33.7	34.0	230.4	208.9	210.4	21.5	20
Tara	33	5'8"	36.1	31.4	28.4	237.4	206.3	185.4	31.1	52
Karla	29	5'2"	32.0	27.6	28.3	174.9	151.4	154.9	23.5	20
Warren	29	6'0"	48.5	44.5	45.1	357.6	328.5	332.6	29.1	25
