Round	Circuit	Date	Pole Position	Fastest Lap	Winning Driver	Winning Team
1	Fuji Speedway	6 April	Tsugio Matsuda	Yuji Tachikawa	Tsugio Matsuda	Team Impul
2	Suzuka Circuit	11 May	Tsugio Matsuda	Yuji Tachikawa	Tsugio Matsuda	Team Impul
3	Twin Ring Motegi	25 May	Tsugio Matsuda	Tsugio Matsuda	Tsugio Matsuda	Team Impul
4	Okayama International Circuit	8 June	Tsugio Matsuda	Satoshi Motoyama	Loïc Duval	Nakajima Racing
5	Suzuka Circuit	13 July	Tsugio Matsuda	Hiroaki Ishiura	Tsugio Matsuda	Team Impul
5	Suzuka Circuit	13 July	Satoshi Motoyama	Roberto Streit	Kohei Hirate	Team Impul
6	Twin Ring Motegi	10 August	Tsugio Matsuda	Roberto Streit	Loïc Duval	Nakajima Racing
6	Twin Ring Motegi	10 August	Takeshi Tsuchiya	Takeshi Tsuchiya	Seiji Ara	TOM'S Racing
7	Fuji Speedway	31 August	João Paulo de Oliveira	Takashi Kogure	João Paulo de Oliveira	Kondō Racing
7	Fuji Speedway	31 August	Kosuke Matsuura	Toshihiro Kaneishi	Kosuke Matsuura	Dandelion Racing
