Place	Player	Country	Score	To par	Money ( $ )
1	Julius Boros	United States	71-71-68-71=281	+1	4,000
2	Ed Oliver	United States	71-72-70-72=285	+5	2,500
3	Ben Hogan	United States	69-69-74-74=286	+6	1,000
4	Johnny Bulla	United States	73-68-73-73=287	+7	800
5	George Fazio	United States	71-69-75-75=290	+10	600
6	Dick Metz	United States	70-74-76-71=291	+11	500
T7	Tommy Bolt	United States	72-76-71-73=292	+12	350
T7	Ted Kroll	United States	71-75-76-70=292	+12	350
T7	Lew Worsham	United States	72-71-74-75=292	+12	350
T10	Lloyd Mangrum	United States	75-74-72-72=293	+13	200
T10	Sam Snead	United States	70-75-76-72=293	+13	200
T10	Earl Stewart	United States	76-75-70-72=293	+13	200
