Game	Date	Opponent	Score	Location Attendance	Record
73	April 2	at Charlotte Hornets	L 84-95	Charlotte Coliseum 24,042	50-23
Game	Date	Opponent	Score	Location Attendance	Record
74	April 4	vs Detroit Pistons	W 103-89	Omni Coliseum 16,378	51-23
75	April 5	vs New York Knicks	L 97-102	Omni Coliseum 16,378	51-24
76	April 9	at Philadelphia 76ers	W 116-101	CoreStates Center 16,549	52-24
77	April 11	at Indiana Pacers	W 104-92	Market Square Arena 16,403	53-24
78	April 12	at Minnesota Timberwolves	W 80-66	Target Center 18,874	54-24
79	April 15	vs New Jersey Nets	W 109-101	Omni Coliseum 14,458	55-24
80	April 16	at New York Knicks	L 92-96	Madison Square Garden 19,763	55-25
81	April 19	vs Philadelphia 76ers	W 136-104	Omni Coliseum 16,457	56-25
82	April 20	at New Jersey Nets	L 92-108	Continental Airlines Arena 18,702	56-26
