Player	Position	Date of Birth (Age)	Caps	Club/province
Ross Ford	Hooker	23 April 1984	16	Glasgow
Dougie Hall	Hooker	24 September 1980	19	Glasgow
Scott Lawson	Hooker	28 September 1981	15	Sale
Fergus Thomson	Hooker	18 September 1983	3	Glasgow
Alasdair Dickinson	Prop	11 September 1983	1	Gloucester
Bruce Douglas	Prop	10 February 1980	43	Scarlets
Allan Jacobsen	Prop	22 September 1978	22	Edinburgh
Gavin Kerr	Prop	3 April 1977	47	Glasgow
Moray Low	Prop	28 November 1984	0	Glasgow
Euan Murray	Prop	7 August 1980	15	Northampton
Craig Smith	Prop	30 August 1978	23	Edinburgh
James Hamilton	Lock	17 November 1982	13	Leicester
Nathan Hines	Lock	29 November 1976	48	Perpignan
Alastair Kellock	Lock	14 June 1981	7	Glasgow
Scott MacLeod	Lock	3 March 1979	14	Scarlets
Scott Murray	Lock	15 January 1976	87	Montauban
John Barclay	Flanker	24 September 1986	1	Glasgow
Kelly Brown	Flanker	8 June 1982	19	Glasgow
Allister Hogg	Flanker	20 July 1983	39	Edinburgh
Ross Rennie	Flanker	29 March 1986	0	Edinburgh
Alasdair Strokosch	Flanker	21 February 1983	1	Gloucester
Jason White ( c )	Flanker	17 April 1978	63	Sale
Johnnie Beattie	Number 8	21 November 1985	3	Glasgow
David Callam	Number 8	15 February 1983	10	Edinburgh
Simon Taylor	Number 8	17 August 1979	58	Stade Français
Mike Blair	Scrum-half	20 April 1981	43	Edinburgh
Chris Cusiter	Scrum-half	13 June 1982	36	Perpignan
Rory Lawson	Scrum-half	12 March 1981	9	Gloucester
Phil Godman	Fly-half	20 May 1982	8	Edinburgh
Calum MacRae	Fly-half	26 January 1980	0	Edinburgh
Dan Parks	Fly-half	26 May 1978	37	Glasgow
Ben Cairns	Centre	29 October 1985	0	Edinburgh
Nick De Luca	Centre	1 February 1984	0	Edinburgh
Rob Dewey	Centre	19 October 1983	13	Ulster
Andrew Henderson	Centre	3 February 1980	49	Glasgow
Graeme Morrison	Centre	17 October 1982	6	Glasgow
Simon Danielli	Wing	8 September 1979	13	Ulster
Thom Evans	Wing	2 April 1985	0	Glasgow
Chris Paterson	Wing	30 March 1978	81	Gloucester
Nikki Walker	Wing	5 March 1982	10	Ospreys
Simon Webster	Wing	8 March 1981	29	Edinburgh
Rory Lamont	Fullback	10 March 1982	14	Sale
Hugo Southwell	Fullback	14 May 1980	36	Edinburgh
