Date	Opponent	Location	Result	Attendance
09/11/1971	Davidson	Groves Stadium • Winston-Salem, NC	W 27-7	19,500
09/18/1971	at Virginia Tech	Lane Stadium • Blacksburg, VA	W 20-9	28,000
09/25/1971	Miami (FL)	Groves Stadium • Winston-Salem, NC	L 10-29	24,500
10/02/1971*	at Maryland	Byrd Stadium • College Park, MD	W 18-14	16,200
10/09/1971*	at North Carolina State	Carter Stadium • Raleigh, NC	L 14-21	25,300
10/16/1971	Tulsa	Groves Stadium • Winston-Salem, NC	W 51-21	18,700
10/23/1971*	at North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	L 3-7	44,000
10/30/1971*	at Clemson	Memorial Stadium • Clemson, SC	L 9-10	34,000
11/06/1971	William & Mary	Groves Stadium • Winston-Salem, NC	W 36-29	19,000
11/13/1971*	Duke	Groves Stadium • Winston-Salem, NC	W 23-7	32,000
11/20/1971*	at South Carolina	Carolina Stadium • Columbia, SC	L 7-24	43,285
