NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
2129	Open cluster	Gemini	06h01m06s	°19′20″
2146	Spiral galaxy	Camelopardalis	06h18m37.5s	°21′21″
2158	Open cluster	Gemini	06h07m25s	°06′
2168	Open cluster	Gemini	06h09m	°21′
2169	Open cluster	Orion	06h08m32.5s	°57′57″
2170	Diffuse nebula	Monoceros	06h07m48s	°23′
2171	Open cluster	Mensa	05h58m26.2s	°39′15″
2172	Open cluster	Dorado	06h00m05s	°38′
2173	Globular cluster	Mensa	05h57m39.7s	°58′41″
2174	Diffuse nebula	Orion	06h10m	°30′
2175	Open cluster	Orion	06h10m	°30′
2194	Open cluster	Orion	06h13m42.4s	°48′06″
