Date	Time	Name	Flag	Casualties	Tonnage (GRT)	Cargo	Sunk by...
9 Sept 1941	06:55	Empire Springbuck	United Kingdom	42	5,591	Steel and explosives	U-81
9 Sept 1941	21:37	Muneric	United Kingdom	63	5,229	Iron Ore	U-432
9 Sept 1941	23:48	Baron Pentland	United Kingdom	2	3,410	Lumber	U-432
10 Sept 1941	02:10	Winterswijk	Netherlands	20	3,205	Phosphates	U-432
10 Sept 1941	02:10	Stargard	Norway	2	1,113	Lumber	U-432
10 Sept 1941	02:45	Sally Maersk	United Kingdom	0	3,252	Wheat	U-81
10 Sept 1941	05:04	Empire Hudson	United Kingdom	4	7,456	Wheat	U-82
10 Sept 1941	10:30	Thistleglen	United Kingdom	3	4,748	Steel & Pig Iron	U-85
10 Sept 1941	20:57	Bulysses	United Kingdom	4	7,519	Gas Oil	U-82
10 Sept 1941	21:00	Gypsum Queen	United Kingdom	10	3,915	Sulphur	U-82
11 Sept 1941	00:10	Stonepool	United Kingdom	42	4,815	Grain, oats & trucks	U-207
11 Sept 1941	00:10	Berury	United Kingdom	1	4,924	General	U-207
11 Sept 1941	02:10	Scania	Sweden	0	1,980	Lumber	U-82
11 Sept 1941	02:10	Empire Crossbill	United Kingdom	49	5,463	Steel	U-82
11 Sept 1941	02:30	Garm	Sweden	6	1,231	Lumber	U-432
16 Sept 1941	19:00	Jedmore	United Kingdom	31	4,392	Iron Ore	U-98
