Place	Player	Country	Score	To par
T1	Tom Lehman	United States	67-67=134	–8
T1	Paul McGinley	Ireland	69-65=134	–8
T3	Ernie Els	South Africa	68-67=135	–7
T3	Peter Hedblom	Sweden	70-65=135	–7
T3	Jack Nicklaus	United States	69-66=135	–7
T6	Nick Faldo	England	68-68=136	–6
T6	Pádraig Harrington	Ireland	68-68=136	–6
T6	Mark McCumber	United States	67-69=136	–6
T6	Mark O'Meara	United States	67-69=136	–6
T6	Corey Pavin	United States	70-66=136	–6
T6	Loren Roberts	United States	67-69=136	–6
T6	Vijay Singh	Fiji	69-67=136	–6
