Place	Player	Country	Score	To par	Money ( $ )
1	Lee Janzen	United States	67-67-69-69=272	–8	290,000
2	Payne Stewart	United States	70-66-68-70=274	–6	145,000
T3	Paul Azinger	United States	71-68-69-69=277	–3	78,556
T3	Craig Parry	Australia	66-74-69-68=277	–3	78,556
T5	Scott Hoch	United States	66-72-72-68=278	–2	48,730
T5	Tom Watson	United States	70-66-73-69=278	–2	48,730
T7	Ernie Els	South Africa	71-73-68-67=279	–1	35,481
T7	Raymond Floyd	United States	68-73-70-68=279	–1	35,481
T7	Fred Funk	United States	70-72-67-70=279	–1	35,481
T7	Nolan Henke	United States	72-71-67-69=279	–1	35,481
