Name	Region	Programming	Type	Encryption
TV EDO	D1 Skopje	Regional	Private channel	Clear
TV ERA	D1 Skopje	Regional	Private channel	Clear
TV BTR	D1 Skopje	Regional	Private channel	Clear
TV Shutel	D1 Skopje	Regional	Private channel	Clear
TV MTM	D1 Skopje	Regional	Private channel	Clear
TV Skopje	D1 Skopje	Regional	Private channel	Clear
TV Tikveshija	D1 Skopje	Regional	Private channel	Clear
KTV Kavadarci	D1 Veles	Regional	Private channel	Clear
Sitel 2	D2	Regional	Private channel	Clear
TV Zlaten kanal	D2	Regional	Private channel	Clear
TV Star	D3	Regional	Private channel	Clear
TV D1	D3	Regional	Private channel	Clear
TV Iris	D3	Regional	Private channel	Clear
TV Vis	D4	Regional	Private channel	Clear
TV Kobra	D4	Regional	Private channel	Clear
TV VTV	D4	Regional	Private channel	Clear
TV Boem	D5	Regional	Private channel	Clear
TV Vizhn-BM	D5	Regional	Private channel	Clear
TV Uskana	D5	Regional	Private channel	Clear
TV NTV	D6	Regional	Private channel	Clear
TV Kanal 3	D7	Regional	Private channel	Clear
TV Koha	D8	Regional	Private channel	Clear
TV Menada	D8	Regional	Private channel	Clear
TV Kiss	D8	Regional	Private channel	Clear
TV Chegrani	D8	Regional	Private channel	Clear
