Scorer	Club	League goals	FA Cup goals	League Cup goals	Total
Malcolm Macdonald	Luton Town	24	1	2	27
George Jones	Bury	26	0	0	26
Les Chappell	Reading	25	0	0	25
Steve Earle	Fulham	22	0	1	23
George Kerr	Bury	20	2	1	23
Jimmy Convay	Fulham	22	0	0	22
Ted MacDougall	Bournemouth & Boscombe Athletic	21	0	1	22
George Andrews	Shrewsbury Town / Southport	13+6	0	2	21
Reg Jenkins	Rochdale	20	0	0	20
George Yardley	Tranmere Rovers	17	2	1	20
Terry Bell	Reading / Hartlepool United	2+15	2	1	20
Mickey Bullock	Orient	19	0	0	19
Dudley Roberts	Mansfield Town	18	0	0	18
Mike Bickle	Plymouth Argyle	18	0	0	18
Bobby Ham	Bradford City	16	0	2	18
Robin Stubbs	Bristol Rovers	15	2	0	17
Alan Gilliver	Brighton & Hove Albion	13	2	2	17
Terry Harkin	Shrewsbury Town	16	0	0	16
Tony Field	Southport	16	0	0	16
Alan Welsh	Torquay United	16	0	0	16
John Rudge	Torquay United	14	1	1	16
John Evans	Barnsley	15	0	0	15
Tony Buck	Rochdale	15	0	0	15
Malcolm Partridge	Mansfield Town	13	2	0	15
Brian Yeo	Gillingham	9	5	1	15
Bobby Williams	Reading	14	0	0	14
Ray Graydon	Bristol Rovers	13	1	0	14
Dennis Butler	Rochdale	12	2	0	14
Mike Green	Gillingham	11	3	0	14
Derek Smith	Tranmere Rovers	11	2	1	14
Ken Beamish	Tranmere Rovers	10	3	1	14
Peter Middleton	Bradford City	11	2	0	13
Dai Jones	Mansfield Town	11	2	0	13
Colin Taylor	Walsall	9	4	0	13
Dean	Bournemouth & Boscombe Athletic	12	0	0	12
Carl Gilbert	Bristol Rovers	12	0	0	12
Barrie Fairbrother	Orient	12	0	0	12
John Regan	Doncaster Rovers	12	0	0	12
Matt Tees	Luton Town	11	1	0	12
John Collins	Luton Town	10	2	0	12
Richard Moir	Shrewsbury Town	10	2	0	12
Alex Dawson	Brighton & Hove Albion	9	2	1	12
Jim Mulvaney	Barrow	11	0	0	11
Kit Napier	Brighton & Hove Albion	10	1	0	11
Eddie Loyden	Barnsley	9	2	0	11
Harold Jarman	Bristol Rovers	10	0	0	10
Ken Pound	Gillingham	9	1	0	10
Rowlands	Stockport	9	1	0	10
Bill Atkins	Halifax Town / Portsmouth	7+2	1	0	10
Les O’Neill	Bradford City	8	2	0	10
