Cyclist	Country	Team	Time	UCI ProTour Points
Juan José Cobo	Spain	Saunier Duval-Prodir	21h 56' 38"	50
Ángel Vicioso	Spain	Relax-Gam	+ 37"	N/A
Samuel Sánchez	Spain	Euskaltel-Euskadi	+ 1' 16"	35
Damiano Cunego	Italy	Lampre-Fondital	+ 2' 26"	30
Alejandro Valverde	Spain	Caisse d'Epargne	+ 2' 42"	25
Davide Rebellin	Italy	Gerolsteiner	+ 2' 50"	20
Tadej Valjavec	Slovenia	Lampre-Fondital	+ 2' 57"	15
Fränk Schleck	Luxembourg	Team CSC	+ 3' 13"	10
Joaquin Rodríguez	Spain	Caisse d'Epargne	+ 3' 21"	5
Koldo Gil	Spain	Saunier Duval-Prodir	+ 3' 41"	2
