Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
3	November 1	Toronto	L 87–91 (OT)	Michael Redd (19)	Andrew Bogut (9)	Bradley Center 17,036	1–2
4	November 2	@ New York	W 94–86 (OT)	Richard Jefferson , Ramon Sessions (18)	Andrew Bogut (11)	Madison Square Garden 18,190	2–2
5	November 5	Washington	W 112–104 (OT)	Richard Jefferson (32)	Andrew Bogut (13)	Bradley Center 13,895	3–2
6	November 7	@ Boston	L 89–101 (OT)	Richard Jefferson (20)	Charlie Villanueva (12)	TD Banknorth Garden 18,624	3–3
7	November 8	Phoenix	L 96–104 (OT)	Ramon Sessions (23)	Andrew Bogut (11)	Bradley Center 17,935	3–4
8	November 11	@ Cleveland	L 93–99 (OT)	Richard Jefferson (19)	Charlie Villanueva (10)	Quicken Loans Arena 19,842	3–5
9	November 12	San Antonio	W 82–78 (OT)	Richard Jefferson (19)	Andrew Bogut (17)	Bradley Center 14,036	4–5
10	November 14	@ Memphis	W 101–96 (OT)	Richard Jefferson (26)	Luc Mbah a Moute (17)	FedExForum 11,308	5–5
11	November 15	Boston	L 97–102 (OT)	Andrew Bogut (20)	Luc Mbah a Moute , Andrew Bogut (9)	Bradley Center 17,952	5–6
12	November 18	@ Denver	L 105–114 (OT)	Charlie Bell (25)	Austin Croshere , Ramon Sessions (6)	Pepsi Center 14,413	5–7
13	November 19	@ Utah	L 94–105 (OT)	Richard Jefferson (25)	Andrew Bogut (20)	EnergySolutions Arena 19,911	5–8
14	November 21	New York	W 104–87 (OT)	Charlie Villanueva (20)	Andrew Bogut (17)	Bradley Center 14,898	6–8
15	November 22	@ Charlotte	W 79–74 (OT)	Ramon Sessions (18)	Andrew Bogut (17)	Time Warner Cable Arena 12,096	7–8
16	November 24	@ Orlando	L 101–108 (OT)	Richard Jefferson (25)	Charlie Villanueva (9)	Amway Arena 16,245	7–9
17	November 26	@ Atlanta	L 96–102 (OT)	Richard Jefferson (25)	Luc Mbah a Moute (8)	Philips Arena 15,730	7–10
18	November 28	@ Detroit	L 97–107 (OT)	Ramon Sessions , Richard Jefferson (21)	Dan Gadzuric (12)	The Palace of Auburn Hills 22,076	7–11
19	November 29	Cleveland	L 85–97 (OT)	Michael Redd (20)	Charlie Villanueva (8)	Bradley Center 16,237	7–12
