Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Geoff Horsfield	Halifax Town	30	4	0	0	34
Darren Collins	Rushden & Diamonds	29	0	3	0	32
Darran Hay	Woking	20	0	0	1	21
Mark Cooper	Welling United	18	1	0	0	19
John Norman	Morecambe	18	0	0	3	21
Neil Grayson	Hereford United & Cheltenham Town	17	4	0	1	22
Owen Pickard	Yeovil Town	17	6	0	1	24
Dale Watkins	Cheltenham Town	17	4	7	1	29
Mike Bignall	Kidderminster Harriers	16	1	0	0	17
Brendan Burke	Stalybridge Celtic	16	2	1	1	20
Jason Eaton	Cheltenham Town	16	2	4	0	22
David Mehew	Rushden & Diamonds	16	1	0	0	17
Warren Patmore	Yeovil Town	16	0	0	1	17
Ritchie Hanlon	Welling United	15	0	0	0	15
Martin Randall	Hayes	15	0	2	2	19
Jamie Paterson	Halifax Town	14	3	1	0	18
Grant Payne	Woking	14	0	0	1	15
Chris Pearson	Kettering Town	14	0	0	0	14
Andy Milner	Morecambe	13	0	0	2	15
Steve Bowey	Gateshead	12	1	1	0	14
Jimmy Strouts	Dover Athletic	12	0	0	1	13
