Round	Pick #	Overall	Name	Position	College
1	16	16	Mike Pitts	Defensive End	Alabama
2	15	43	James Britt	Defensive Back	LSU
3	19	75	Andrew Provence	Defensive Tackle	South Carolina
4	18	102	John Harper	Linebacker	Southern Illinois
5	17	129	Brett Miller	Offensive Tackle	Iowa
6	16	156	Anthony Allen	Wide Receiver	Washington
7	15	183	Jeff Turk	Defensive Back	Boise State
8	19	215	John Rade	Linebacker	Boise State
10	17	268	Ralph Giacomarro	Punter	Penn State
11	16	295	John Salley	Defensive Back	Wyoming
12	15	322	Allama Matthews	Tight End	Vanderbilt
