Driver	Entrant	Constructor	Time/Retired	Grid	Heat 1/2
Giancarlo Baghetti	Scuderia Sant Ambroeus	Porsche	1.00:53.9	2	1st / 1st
Ernesto Prinoth	Scuderia Dolomiti	Lotus - Climax	+ 15.3 s	3	2nd / 2nd
Nino Vaccarella	Scuderia Serenissima	Cooper - Maserati	59 laps	1	3rd / 3rd
Roberto Bussinello	Isobele de Tomaso	De Tomaso - Alfa Romeo	58 laps	4	5th / 4th
Roberto Lippi	Scuderia Settecolli	De Tomaso - O.S.C.A.	58 laps	6	4th / 5th
Albino Buticchi	Scuderi Sant Ambroeus	Cooper - Climax	57 laps	8	6th / 6th
Lucien de Sanctis	Scuderi Sant Ambroeus	Cooper - Climax	56 laps	9	7th / 7th
Gaetano Starrabba	Gaetano Starrabba	Lotus - Maserati	31 laps	5	8th / 8th
Elio Pandolfo	Scuderia Montegrappa	Elios	22 laps	10	9th / Ret
Rovero Campello	Rovero Campello	de Sanctis - Fiat	Engine	7	Ret / DNS
Ludovico Scarfiotti	Pescara Racing Club	De Tomaso - O.S.C.A.	Car not ready	–	– / –
Menato Boffa	Menato Boffa	Cooper - Climax	Car not ready	–	– / –
