Week	Date	Opponent	Result	Attendance
1	September 6, 1992	at Green Bay Packers	W 23–20 (OT)	58,617
2	September 13, 1992	at Detroit Lions	L 31–17	57,519
3	September 20, 1992	Tampa Bay Buccaneers	W 26–20	48,113
4	September 27, 1992	at Cincinnati Bengals	W 42–7	53,847
5	October 4, 1992	Chicago Bears	W 21–20	60,992
6	Bye	Bye	Bye	Bye
7	October 15, 1992	Detroit Lions	W 31–14	52,816
8	October 25, 1992	Washington Redskins	L 15–13	59,098
9	November 2, 1992	at Chicago Bears	W 38–10	61,257
10	November 8, 1992	at Tampa Bay Buccaneers	W 35–7	49,095
11	November 15, 1992	Houston Oilers	L 17–13	56,726
12	November 22, 1992	Cleveland Browns	W 17–13	53,323
13	November 29, 1992	at Los Angeles Rams	W 31–17	54,831
14	December 6, 1992	at Philadelphia Eagles	L 28–17	65,280
15	December 13, 1992	San Francisco 49ers	L 20–17	60,685
16	December 20, 1992	at Pittsburgh Steelers	W 6–3	53,613
17	December 27, 1992	Green Bay Packers	W 27–7	61,461
