Rank	Name	City	Metres	Floors
1	Z-Towers	Riga	133	34
2	Panorama Plaza III	Riga	114	32
3	Spice - office building	Riga	114	28
4	Panorama Plaza IV	Riga	99	25
5	Elipses Apartamenti	Riga	96	31
6	Da Vinci apartments	Riga	95	27
7	Symbiotic Tower	Riga	91	24
8	Zaķusala Embankment I	Riga	84	26
9	Zaķusala Embankment II	Riga	84	26
10	Dzelzavas street 74	Riga	75	24
11	Office centre Skanste	Riga	74	20
12	ABLV bank central office building	Riga	74	20
13	The New Hanza city hotel building	Riga	73	19
14	National Latvian Library	Riga	68	13
