Rank	Place	County	Per Capita Income	Median House- hold Income	Population	Number of Households
1	Norwin	Westmoreland County	$124,279	$94,239	18	7
2	Gladwyne	Montgomery County	$90,940	$159,905	4050	1476
3	Fox Chapel	Allegheny County	$80,610	$141,298	5436	1875
4	Sewickley Heights	Allegheny County	$74,346	$115,672	981	336
5	Edgeworth	Allegheny County	$69,350	$99,144	1730	644
6	Thornburg	Allegheny County	$57,674	$83,264	468	177
7	Rosslyn Farms	Allegheny County	$56,612	$87,500	464	184
8	Upper Makefield Township	Bucks County	$56,288	$102,759	7180	2512
9	Lower Merion Township	Montgomery County	$55,526	$86,373	59850	22868
10	Rose Valley	Delaware County	$54,202	$114,373	944	347
11	Haysville	Allegheny County	$53,151	$33,750	78	36
12	Solebury Township	Bucks County	$52,985	$89,005	7743	3053
13	Chadds Ford Township	Delaware County	$52,974	$84,100	3170	1314
14	Pennsbury Township	Chester County	$52,530	$83,295	3500	1387
15	Pocopson Township	Chester County	$51,883	$98,215	3350	859
16	Chesterbrook	Chester County	$51,859	$80,792	4625	2356
17	Birmingham Township	Chester County	$51,756	$130,096	4221	1391
18	Bradford Woods	Allegheny County	$51,462	$92,820	1149	464
19	Easttown Township	Chester County	$51,028	$95,548	10270	3758
20	Villanova	Montgomery County	$50,204	$159,538	9060	1902
21	Osborne	Allegheny County	$50,169	$64,375	566	216
22	West Pikeland Township	Chester County	$48,616	$105,322	3551	1214
23	Spring Ridge	Berks County	$47,822	$83,345	786	370
24	Spring House	Montgomery County	$47,661	$89,000	3290	1347
25	Tredyffrin Township	Chester County	$47,584	$82,258	29062	12223
26	Thornbury Township	Chester County	$47,505	$84,225	2678	1023
27	Edgmont Township	Delaware County	$46,848	$88,303	3918	1447
28	Kennett Township	Chester County	$46,669	$85,104	6451	2457
29	New Hope	Bucks County	$45,309	$60,833	2252	1160
30	Willistown	Chester County	$45,010	$77,555	10011	3806
31	Abington Township	Lackawanna County	$44,551	$73,611	1616	609
32	Ben Avon Heights	Allegheny County	$44,191	$105,006	392	138
33	Bala-Cynwyd	Montgomery County	$44,027	$78,932	9336	3726
34	Lower Makefield Township	Bucks County	$43,983	$98,090	32681	11706
35	Blue Bell	Montgomery County	$43,813	$94,160	6395	2434
36	West Vincent Township	Chester County	$43,500	$92,024	3170	1077
37	Mount Gretna	Lebanon County	$43,470	$62,917	242	117
38	Schuylkill Township	Chester County	$43,379	$86,092	6960	2536
39	Fort Washington	Montgomery County	$43,090	$103,469	3680	1161
40	Marshall Township	Allegheny County	$42,856	$102,351	5996	1944
41	Woodside	Bucks County	$42,653	$121,151	2575	791
42	Wrightstown Township	Bucks County	$42,623	$82,875	2839	971
43	Upper St.Clair Township	Allegheny County	$42,413	$87,581	20053	6966
44	Seven Springs	Fayette County	$42,131	$48,750	127	63
45	Charlestown Township	Chester County	$41,878	$89,813	4051	1340
46	Lower Gwynedd Township	Montgomery County	$41,868	$74,351	10422	4177
47	Whitpain Township	Montgomery County	$41,739	$88,933	18562	6960
48	Bell Acres	Allegheny County	$41,202	$61,094	1382	520
49	Penn Wynne	Montgomery County	$41,199	$78,398	5382	2072
50	East Bradford Township	Chester County	$41,158	$100,732	9405	3076
51	Swarthmore	Delaware County	$40,482	$82,653	6170	1993
