Week	Date	Opponent	Result	Attendance
1	September 10, 1961	San Diego Chargers	L 26–10	24,500
2	September 24, 1961	at Oakland Raiders	W 42–35	6,700
3	October 1, 1961	Houston Oilers	W 26–21	28,000
4	October 8, 1961	at Denver Broncos	W 19–12	14,500
5	October 15, 1961	at Buffalo Bills	L 27–24	20,678
6	October 22, 1961	at Houston Oilers	L 38–7	23,228
7	October 29, 1961	Boston Patriots	L 18–17	20,500
8	November 3, 1961	at Boston Patriots	L 28–21	25,063
9	November 12, 1961	Buffalo Bills	L 30–20	15,000
10	November 19, 1961	at San Diego Chargers	L 24–14	33,788
11	November 26, 1961	Oakland Raiders	W 43–11	14,500
12	December 3, 1961	at New York Titans	L 28–7	14,117
13	December 10, 1961	Denver Broncos	W 49–21	8,000
14	December 17, 1961	New York Titans	W 35–24	12,500
