Rd.	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Constructor	Report
1	Australian Grand Prix	Rubens Barrichello	Kimi Räikkönen	Michael Schumacher	Ferrari	Report
2	Malaysian Grand Prix	Michael Schumacher	Juan Pablo Montoya	Ralf Schumacher	Williams - BMW	Report
3	Brazilian Grand Prix	Juan Pablo Montoya	Juan Pablo Montoya	Michael Schumacher	Ferrari	Report
4	San Marino Grand Prix	Michael Schumacher	Rubens Barrichello	Michael Schumacher	Ferrari	Report
5	Spanish Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
6	Austrian Grand Prix	Rubens Barrichello	Michael Schumacher	Michael Schumacher	Ferrari	Report
7	Monaco Grand Prix	Juan Pablo Montoya	Rubens Barrichello	David Coulthard	McLaren - Mercedes	Report
8	Canadian Grand Prix	Juan Pablo Montoya	Juan Pablo Montoya	Michael Schumacher	Ferrari	Report
9	European Grand Prix	Juan Pablo Montoya	Michael Schumacher	Rubens Barrichello	Ferrari	Report
10	British Grand Prix	Juan Pablo Montoya	Rubens Barrichello	Michael Schumacher	Ferrari	Report
11	French Grand Prix	Juan Pablo Montoya	David Coulthard	Michael Schumacher	Ferrari	Report
12	German Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
13	Hungarian Grand Prix	Rubens Barrichello	Michael Schumacher	Rubens Barrichello	Ferrari	Report
14	Belgian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
15	Italian Grand Prix	Juan Pablo Montoya	Rubens Barrichello	Rubens Barrichello	Ferrari	Report
16	United States Grand Prix	Michael Schumacher	Rubens Barrichello	Rubens Barrichello	Ferrari	Report
