Season	Tier	Division	Pos.	Cup Competitions
1991–92	3	II.SKL - East	3	Pokal Slovenije 1. round
1992–93	3	II.SKL - East	4	Pokal Slovenije quarterfinalist
1993–94	3	II.SKL	1	Pokal Slovenije 3. round
1994-95	2	2.A SKL	3	Pokal Slovenije 2. round
1995-96	2	2.A SKL	2	Pokal Slovenije 4. round
1996–97	1	1.SKL	3	Pokal Slovenije 4. round
1997–98	1	1.SKL	3	Pokal Slovenije runner-up
1998–99	1	1.SKL	2	Pokal Slovenije runner-up
1999-00	1	1.SKL	2	Pokal Slovenije runner-up
2000-01	1	1.SKL	4	Pokal Slovenije quarterfinalist
2001-02	1	1.SKL	3	Pokal Slovenije semifinalist
2002-03	1	1.SKL	3	Pokal Slovenije semifinalist
2003-04	1	1.SKL	2	Pokal Slovenije winner
2004-05	1	1.SKL	2	Pokal Slovenije runner-up
2005-06	1	1.SKL	5	Pokal Slovenije runner-up
2006-07	1	1.SKL	4	Pokal Slovenije 5. round
2007-08	1	1.SKL	4	Pokal Slovenije quarterfinalist
2008-09	1	1.SKL	4	Pokal Slovenije quarterfinalist
2009-10	1	1.SKL	7	Pokal Slovenije runner-up
2010-11	1	1.SKL	4	Pokal Slovenije semifinalist
2011-12	1	1.SKL	4	Pokal Slovenije semifinalist
