Model	Platform & Frequency [MHz]	RAM [MB]	Flash Memory [MB]	Wireless NIC	WLAN standard [802.11]	Ethernet port count	Voltage Input [V/A]
WHR-G125	Broadcom 5354 @ 240MHz	16 MB	4 MB	Broadcom	b/g	4 LAN/1 WAN	3.3V/1A
WHR-G (Japan equivalent of WHR-G125)	Broadcom 5354 @ 240MHz	16 MB	4 MB	Broadcom	b/g	4 LAN/1 WAN	3.3V/2A
WHR-G300N	Ralink 3052 @ 384MHz	32 MB	4 MB	Ralink	b/g/n	4 LAN/1 WAN	12V/2.0A?
WHR-G300N	Atheros 7240 @ 400MHz	32 MB	4 MB	Atheros	b/g/n	4 LAN/1 WAN	12V/1A
WHR-G54S	Broadcom 5352 @ 200MHz	16 MB	4 MB	Broadcom	b/g	4 LAN/1 WAN	3.3V/2A
WHR-HP-AG108	Atheros 5312 @ 220MHz	32 MB	4 MB	Atheros	a/b/g/h	4 LAN/1 WAN	5V/2A
WHR-HP-AMPG (Japan equivalent of WHR-HP-AG108)	Atheros 5312 @ 220MHz	32 MB	4 MB	Atheros	a/b/g/h	4 LAN/1 WAN	5V/2A
WHR-HP-G300N	Atheros 7240 @ 400MHz	32 MB	4 MB	Atheros	b/g/n	4 LAN/1 WAN	5V/2.3A
WHR-HP-G54	Broadcom 5352 @ 200MHz	16 MB	4 MB	Broadcom	b/g	4 LAN/1 WAN	5V/0.9A
WHR-HP-G54-DD	Broadcom 5352 @ 200MHz	16 MB	4 MB	Broadcom	b/g	4 LAN/1 WAN	5V/0.9A
WHR-HP-G54S	Broadcom ? @ ? MHz	16 MB ?	4 MB ?	Broadcom	b/g?	4 LAN/1 WAN?	5V/0.9A?
WHR-HP-GN	Atheros 7240 @ 400MHz	32 MB	4 MB	Broadcom	b/g/n	4 LAN/1 WAN	5V/2.3A
WHR2-A54G54	Broadcom 4704 @ 264MHz	16 MB ?	4 MB ?	Broadcom	b/g?	4 LAN/1 WAN?	5V/0.9A?
WHR3-AG54	Broadcom 4704 @ 264MHz	64 MB ?	4 MB ?	Broadcom	b/g?	4 LAN/1 WAN	3.3V/2A
