Player	Position	School	Hometown	College
Austin Kafentzis ‡‡	Quarterback	Jordan High School	Sandy, Utah	Wisconsin
Greg Bryant	Running back	American Heritage School	Delray Beach, Florida	Notre Dame
Derrick Green	Running back	Hermitage High School	Richmond, Virginia	Michigan
Kelvin Taylor	Running back	Glades Day School	Belle Glade, Florida	Florida
LaQuvionte Gonzalez	Running back	Cedar Hill High School	Cedar Hill, Texas	Texas A&M
Leonard Fournette ‡	Running back	St. Augustine High School	New Orleans, Louisiana	Undecided
Tramel Terry	Wide receiver	Goose Creek High School	Goose Creek, South Carolina	Georgia
Jalen Brown ‡	Wide receiver	Mountain Pointe High School	Phoenix, Arizona	Undecided
Kyle Bosch	Offensive line	St. Francis High School	Wheaton, Illinois	Michigan
Cameron Hunt	Offensive line	Centennial High School	Corona, California	California
Thomas Duarte	Tight end	Mater Dei High School	Santa Ana, California	UCLA
