Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
7	June 4	Seattle	77-67	Smith (33)	Ford (11)	Nolan (8)	Palace of Auburn Hills 8,108	6-1
8	June 6	@ Sacramento	84-70	Smith (30)	Braxton , Ford , Nolan (6)	Nolan (9)	ARCO Arena 6,663	7-1
9	June 7	@ Seattle	67-75	Smith (18)	Pierson (10)	Hornbuckle , Pierson (3)	KeyArena 7,105	7-2
10	June 11	@ Los Angeles	73-80	Smith (16)	Pierson , Smith (7)	Smith (4)	STAPLES Center 8,520	7-3
11	June 14	@ Phoenix	89-79	Humphrey (28)	Hornbuckle (15)	Nolan (8)	US Airways Center 7,696	8-3
12	June 20	Minnesota	98-93 (OT)	Nolan (44)	Ford (14)	Pierson (4)	Palace of Auburn Hills 8,916	9-3
13	June 22	@ Atlanta	97-76	Ford (20)	Ford (12)	Nolan (7)	Philips Arena 7,865	10-3
14	June 24	@ Connecticut	68-85	Nolan (17)	Ford (11)	Smith (4)	Mohegan Sun Arena 7,501	10-4
15	June 26	Connecticut	70-61	Nolan (13)	Ford (9)	Smith (4)	Palace of Auburn Hills 8,636	11-4
16	June 28	@ Chicago	59-76	Murphy (13)	Ford (8)	Hornbuckle , Sam (4)	UIC Pavilion 3,407	11-5
17	June 29	Atlanta	100-92	Braxton (26)	Braxton (9)	Nolan (11)	Palace of Auburn Hills 8,798	12-5
