Player	Position	Date of Birth (Age)	Caps	Club/province
Rory Best	Hooker	15 August 1982	17	Ulster
Jerry Flannery	Hooker	17 October 1978	21	Munster
Bernard Jackman	Hooker	5 May 1976	4	Leinster
Tony Buckley	Prop	8 October 1980	2	Munster
John Hayes	Prop	2 November 1973	79	Munster
Cian Healy	Prop	7 October 1987	0	Leinster
Marcus Horan	Prop	7 September 1977	51	Munster
Leo Cullen	Lock	9 January 1978	19	Leinster
Donncha O'Callaghan	Lock	23 March 1979	40	Munster
Paul O'Connell	Lock	20 October 1979	52	Munster
Mick O'Driscoll	Lock	8 October 1978	11	Munster
Malcolm O'Kelly	Lock	19 July 1974	90	Leinster
Neil Best	Flanker	3 April 1979	18	Ulster
Simon Easterby	Flanker	21 July 1975	62	Scarlets
Johnny O'Connor	Flanker	9 February 1980	12	Connacht
Alan Quinlan	Flanker	13 July 1974	25	Munster
David Wallace	Flanker	8 July 1976	41	Munster
Jamie Heaslip	Number 8	3 December 1983	3	Leinster
Denis Leamy	Number 8	27 November 1981	27	Munster
Eoin Reddan	Scrum-half	20 November 1980	5	Wasps
Peter Stringer	Scrum-half	13 December 1977	79	Munster
Ronan O'Gara	Fly-half	7 March 1977	77	Munster
Jonathan Sexton	Fly-half	11 July 1985	0	Leinster
Paddy Wallace	Fly-half	27 August 1979	9	Ulster
Gordon D'Arcy	Centre	10 February 1980	36	Leinster
Gavin Duffy	Centre	18 September 1981	9	Connacht
Brian O'Driscoll ( c )	Centre	21 January 1979	79	Leinster
Andrew Trimble	Centre	20 October 1984	19	Ulster
Tommy Bowe	Wing	22 February 1984	10	Ulster
Luke Fitzgerald	Wing	13 September 1987	2	Leinster
Shane Horgan	Wing	18 July 1978	58	Leinster
Rob Kearney	Wing	26 March 1986	1	Leinster
Girvan Dempsey	Fullback	2 October 1975	78	Leinster
Geordan Murphy	Fullback	19 April 1978	53	Leicester
