Date	Track	Race	Purse Hi	Finish	Time	Last 1/4	Odds	Driver
29 November 2008	Meadowlands	BC Final	$500,000	3/5 3/4	1:55.0	29.1	*0.80	Ray Schnittker
31 October 2008	Vernon Downs	3-5 YO Open	$20,000	1/6 1/4	1:55.2	28.2	.00	Ray Schnittker
4 October 2008	Red Mile	Ky Futurity	$136 800	1/HD	1:59.3	26.1	1.00	Ray Schnittker
4 October 2008	Red Mile	Ky Futurity	$273 600	3/2	1:53.0	28.1	*0.30	Ray Schnittker
4 October 2008	Red Mile	Ky Futurity	$273 600	1/HD	1:52.3	27.2	*0.70	Ray Schnittker
27 September 2008	Red Mile	Bluegrass	$107 200	1/6	1:52.2	28.0	*0.05	Ray Schnittker
13 September 2008	Mohawk	D-Cdn Trot F	$1 000 000	1/2	1:53.2	27.4	*1.30	Ray Schnittker
6 September 2008	Mohawk	D-Cdn Trot E	$40 000	2/T	1:54.3	27.4	*0.15	Ray Schnittker
30 August 2008	Du Quoin	World Trotting Derby	$565 000	1/T	1:50.4	27.1	*0.20	Ray Schnittker
15 August 2008	Vernon Downs	3&4 Yr Open	$30 000	1/8	1:54.0	28.2	NB	Ray Schnittker
2 August 2008	Meadowlands	Hambo F	$1 500 000	1/H	1:52.0	28.3	*0.40	Ray Schnittker
26 July 2008	Meadowlands	Hambo E	$70 000	1/6Q	1:52.3	29.0	*0.20	Ray Schnittker
11 July 2008	Meadowlands	Dancer Mem F	$175 000	1/3	1:53.2	27.4	*0.20	Ray Schnittker
4 July 2008	Meadowlands	Dancer Mem E	$35 000	1/4H	1:52.2	27.2	*E0.50	Ray Schnittker
27 June 2008	Meadowlands	Dickerson	$79 110	1/H	1:53.3	28.4	*E0.05	Ray Schnittker
19 June 2008	Meadowlands	QUAL	$0	1/3Q	1:53.1	27.1	NB	Ray Schnittker
5 June 2008	Meadowlands	QUAL	$0	1/10	1:54.0	28.2	NB	Ray Schnittker
24 November 2007	Meadowlands	Breeder's Crown F	$650 000	1/1	1:57.2	29.1	*0.60	Ray Schnittker
16 November 2007	Meadowlands	Breeder's Crown E	$25 000	1/3	1:59.0	27.1	*0.20	Ray Schnittker
27 October 2007	Woodbine	Valley Vic F	$666 050	1/2H	1:58.0	29.4	*0.25	Ray Schnittker
20 October 2007	Woodbine	Valley Vic E	$23 000	1/1Q	1:56.4	28.3	*0.15	Ray Schnittker
4 October 2007	Lexington	2YoC-Stk	$90 500	1/3H	1:54.2	28.2	*0.10	Ray Schnittker
27 September 2007	Lexington	2YoC-Stk	$92 000	1/2H	1:55.3	29.3	*0.30	Ray Schnittker
13 September 2007	Vernon Downs	QUAL	$0	1/8Q	1:57.2	29.0	NB	Ray Schnittker
18 July 2007	Meadowlands	D-2YrCNJSS	$175 000	1/NK	1:57.0	27.4	*0.80	Ray Schnittker
11 July 2007	Meadowlands	2YrC NJSS	$34 750	1/1H	1:57.4	29.0	*0.90	Ray Schnittker
4 July 2007	Meadowlands	2YrC NJSS	$35 250	1/4T	1:58.0	30.2	*0.70	Ray Schnittker
28 June 2007	Meadowlands	Harriman Cup	$53 500	1/5	1:59.0	29.0	E3.40	Ray Schnittker
20 June 2007	Meadowlands	QUAL	$0	1/T	2:03.3	28.4	NB	Ray Schnittker
13 June 2007	Meadowlands	QUAL	$0	2/1Q	2:01.1	28.0	NB	Ray Schnittker
