District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) 94.7% Thomas A. Clarke (R) 5.3%
Texas 2	John C. Box	Democratic	1918	Lost renomination Democratic hold	Martin Dies, Jr. (D) Unopposed
Texas 3	Morgan G. Sanders	Democratic	1920	Re-elected	Morgan G. Sanders (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) 88.8% Floyd Harry (R) 11.2%
Texas 6	Luther A. Johnson	Democratic	1922	Re-elected	Luther A. Johnson (D) Unopposed
Texas 7	Clay Stone Briggs	Democratic	1918	Re-elected	Clay Stone Briggs (D) Unopposed
Texas 8	Daniel E. Garrett	Democratic	1920	Re-elected	Daniel E. Garrett (D) Unopposed
Texas 10	James P. Buchanan	Democratic	1912	Re-elected	James P. Buchanan (D) Unopposed
Texas 11	Oliver H. Cross	Democratic	1928	Re-elected	Oliver H. Cross (D) Unopposed
Texas 12	Fritz G. Lanham	Democratic	1919	Re-elected	Fritz G. Lanham (D) Unopposed
Texas 13	Guinn Williams	Democratic	1922	Re-elected	Guinn Williams (D) 91.1% W. C. Witcher (R) 8.9%
Texas 17	Thomas L. Blanton	Democratic	1930	Re-elected	Thomas L. Blanton (D) Unopposed
