Team	2004–05 Pts	2005–06 Pts	2006–07 Pts	Total Pts	Total Pld
Boca Juniors	48	83	83	214	114
Estudiantes (LP)	61	52	81	194	114
River Plate	60	62	71	193	114
Vélez Sársfield	73	58	56	187	114
San Lorenzo	52	56	73	181	114
Lanús	54	58	59	171	114
Gimnasia y Esgrima (LP)	54	69	40	163	114
Independiente	49	55	57	161	114
Arsenal	54	44	62	160	114
Rosario Central	61	45	52	158	114
Banfield	59	59	39	157	114
Racing	58	44	49	151	114
Newell'sOldBoys	60	51	38	149	114
Colón	53	46	46	145	114
Gimnasia y Esgrima (J)	—	51	43	94	76
Argentinos Juniors	43	50	46	139	114
Nueva Chicago	—	—	43	43	38
Godoy Cruz	—	—	42	42	38
Belgrano	—	—	41	41	38
Quilmes	44	39	21	104	114
