Year	Men's singles	Men's doubles	Women's doubles	Mixed doubles
1902	B. Hamilton	W. J. Hamilton B. Hamilton	no competition	B. Hamilton R. H. Goff
1903	B. Hamilton	G. Lucas R. D. Marshal	Marjorie Lucas Mabel Hardy	L. U. Ranford Mabel Hardy
1904	B. Hamilton	B. Hamilton T. D. Good	Marjorie Lucas Ethel B. Thomson	L. U. Ranford Mabel Hardy
1905	Henry Norman Marrett	Henry Norman Marrett Albert Davis Prebble	Marjorie Lucas Ethel B. Thomson	Norman Wood Hazel Hogarth
1906	Henry Norman Marrett	Henry Norman Marrett Albert Davis Prebble	no competition	Norman Wood Hazel Hogarth
1907	Arthur Cave	B. Hamilton T. D. Good	M. Hogarth Mary Bateman	Norman Wood Hazel Hogarth
1908	Arthur Cave	B. Hamilton T. D. Good	Marjorie Lucas Margaret Larminie	B. Hamilton Marjorie Lucas
1909	Arthur Cave	Frank Chesterton George Alan Thomas	M. Hogarth Mary Bateman	George Alan Thomas Hazel Hogarth
1910	Frank Chesterton	Frank Chesterton George Alan Thomas	Mary Bateman Margaret Larminie	George Alan Thomas Margaret Larminie
1911	George Alan Thomas	Guy A.Sautter George Alan Thomas	Lavinia Clara Radeglia Margaret Larminie	George Alan Thomas Margaret Larminie
1912	Guy A.Sautter	Guy A.Sautter George Alan Thomas	Lavinia Clara Radeglia Margaret Tragett	George Alan Thomas Margaret Tragett
1913	George Alan Thomas	Guy A.Sautter George Alan Thomas	R. H. Plews Margaret Tragett	Guy A.Sautter Hazel Hogarth
1914	George Alan Thomas	R. H. Plews George Alan Thomas	Lavinia Clara Radeglia C. Pearson	George Alan Thomas Hazel Hogarth
1915 1919	no competition	no competition	no competition	no competition
1920	George Alan Thomas	F. A. Kennedy R. H. Lambert	Hazel Hogarth Lavinia Clara Radeglia	George Alan Thomas Hazel Hogarth
1921	George Alan Thomas	Frank Devlin R. H. Plews	Hazel Hogarth E. F. Stewart	George Alan Thomas Hazel Hogarth
1922	Guy A.Sautter	Gerald S. B. Mack George Alan Thomas	Margaret Barrett Kitty McKane	Guy A.Sautter E. G. Peterson
1923	Gerald S. B. Mack	Gerald S. B. Mack George Alan Thomas	D. Pilkington Elizabeth Anderson	Frank Devlin E. F. Stewart
1924	Frank Devlin	Gerald S. B. Mack George Alan Thomas	A. M. Head Kitty McKane	Gerald S. B. Mack Margaret Tragett
1925	Gerald S. B. Mack	Gerald S. B. Mack R. A. Goff	A. M. Head M. Homan	Gerald S. B. Mack Margaret Tragett
1926	Frank Devlin	R. du Rovery George Alan Thomas	Marian Horsley Violet Elton	Frank Hodge Violet Elton
1927	George Alan Thomas	Gerald S. B. Mack George Alan Thomas	D. Pilkington T. D. Good	Gerald S. B. Mack A. M. Head
1928	Albert Harbot	Albert Harbot George Alan Thomas	Margaret Barrett Violet Elton	Albert Herbot Violet Elton
1929	W. Hamilton	J. D. M. McCallum George Alan Thomas	D. Pilkington T. D. Good	James Barr C. T. Duncan
1930	W. Hamilton	Herbert Uber Donald Hume	Marian Horsley Betty Uber	Herbert Uber Betty Uber
1931	W. Hamilton	Gerald S. B. Mack Frank Devlin	Marian Horsley C. T. Duncan	Frank Devlin Marian Horsley
1932	Raymond White	Donald Hume Ralph Nichols	Marian Horsley Betty Uber	Donald Hume Betty Uber
1933	W. Hamilton	Thomas Boyle James Rankin	Marian Horsley Olive Wilson	James Rankin M. Hamilton
1934	Raymond White	Ian Maconachie W. Hamilton	Marian Horsley Betty Uber	Donald Hume Betty Uber
1935	James Rankin	Ian Maconachie James Rankin	Marian Horsley Olive Wilson	Ian Maconachie Marian Horsley
1936	Ralph Nichols	Ian Maconachie James Rankin	Marian Horsley Betty Uber	Donald Hume Betty Uber
1937	James Rankin	Ian Maconachie James Rankin	Mavis Macnaughton N. Stoker	James Rankin O. Wilson
1938	Thomas Boyle	Kenneth Wilson A. Titherley	Daphne Young N. Stoker	Thomas Boyle O. Wilson
1939	A. S. Samuel	Thomas Boyle James Rankin	Mavis Macnaughton Olive Wilson	Thomas Boyle O. Wilson
1940 1946	no competition	no competition	no competition	no competition
1947	N. B. Radford	Thomas Boyle James Rankin	Q. M. Allen Betty Uber	Ralph Nichols J. B. Shearlaw
1948	N. B. Radford	Noel Radford Frank Peard	Nora Conway B. Good	H. J. Wingfield V. E. Duringer
1949	Ong Poh Lim	Ong Poh Lim Lim Kee Fong	Q. M. Allen Betty Uber	Harold Marsland Q. M. Allen
1950	Frank Peard	Frank Peard James FitzGibbon	Nora Conway B. Potter	J. C. Mackay A. M. Horner
1951	Eddy B. Choong	Harold Marsland Kenneth Greasley	I. E. O'Beirne A. Choong	Eddy B. Choong A. Choong
1952	Eddy B. Choong	E. L. Choong Eddy B. Choong	Jean Lawless B. J. Good	H. A. Heah G. F. Saunders
1953	Eddy B. Choong	E. L. Choong Eddy B. Choong	Iris Cooley June White	Eddy B. Choong June White
1954	J. E. Robson	Frank Peard James FitzGibbon	Iris Cooley June White	W. A. Robinson A. M. Horner
1955	Tony Jordan	Warwick Shutle John Best	Iris Cooley June White	Tony Jordan June White
