Year	Album	Song	Label	Catalog#	Format	Country
2003	Various - Pioneer The Album Vol. 4	Gia [CD]	Blanco Y Negro	MXCD-1366	2xCD, DVD	Spain
2003	Various - Pioneer The Album Vol. 4	Gia (Greek Version) [DVD]	Blanco Y Negro	MXCD-1366	2xCD, DVD	Spain
2003	Various - Home 69	Gia (DJ Gregory Remix)	CLS Records	CLS SA0202	CD	Hungary
2003	Various - Chill Out in Paris 3	Gia (Said Mrad Remix)	George V Records	3087322	2xCD, Stereo	France
2004	Various - Dance Power 10	Opa Opa (Bigworld Radio Mix)	Vidisco	11.80.8369	2xCD	Portugal
2004	Various - Kula Karma	Gia	Ministry Of Sound	8662383	2xCD, Sampler	Germany
2005	Armand Van Helden - The Remixes Vol. 2	Opa Opa (Armand Van Helden Club Mix)	Disky Dance	DD 902707	CD, Digipak	Netherlands
2005	Various - DJ Masters Unmixed #3	Come Along Now (Edit)	Central Station	CSR CD 5253	3xCD	Australia
2005	Various - Wild Nights 4	Opa Opa [DVD]	Central Station	CSR CD 5252	2xCD, DVD, Gatefold	Australia
2008	Nick Skitz - Come Into My World	Gia (Skitz Clubb Mixx)	Central Station	LNGA-004	2xCD, Album	Australia
2008	Schiller - Sehnsucht	Destiny	Universal Music Domestic Division	06025 1757837 1	2xCD, Album, DVD, DVD-Video, PAL	Germany
2008	Schiller - Desire	Destiny	Island Records	06025 1772012 1	CD, Album	Germany
2010	Schiller - Breathless	Sunday	Island Records	06025 2740708 1	CD, Album	Europe
