Field	Geological Trend	Reserves	Discovery	Operator(s)
Samah field	Western	Gof	NA	WOC
Beida field	Western	Gof	NA	NOC
Dahra-Hofra field	Western	Gof	NA	WOC
Raguba field	Western	Gof	1961	SOC
Bahi field	Western	NA	1958	NOC
Waha field	Northcentral	Gof	1961	ConocoPhillips
Nasser field	Northcentral	2.5 Bbbl	1956	SOC
Hateiba gas field	Northcentral	NA	1960	SOC
Sarir field	Eastern	12.0 Bbbl	1961	Agoco
Messla field	Eastern	Gof	1984	Agoco
Gialo field	Eastern	Gof	NA	WOC
Bu Attifel field	Eastern	Gof	1968	Agip
Intisar field	Eastern	Gof	NA	ZOC
Nafoora-Augila field	Eastern	Gof	1965	Agoco
Amal field	Eastern	Gof	1959	PetroCanada
An-Naga field	Western	100 Bbbl	1998	Lundin
