Rank	Stadium	Capacity	Club	Region
1	Lobanovsky Dynamo Stadium	16873	FC Dynamo-2 Kyiv	Kiev
2	MCS Rukh	16000	FSC Prykarpattya Ivano-Frankivsk	Ivano-Frankivsk
3	Illychivets	12680	FC Illichivets Mariupol	Donetsk
4	Youri Haharyn	12000	FC Desna Chernihiv	Chernihiv
5	CSK ZSU	12000	CSCA Kyiv	Kiev
6	Avanhard	11574	FC Volyn Lutsk	Lutsk
7	Central	10321	FC Dnipro Cherkasy	Cherkasy
8	Stal	9200	FC Stal Alchevsk	Luhansk
9	SK Sevastopol	6500	PFC Sevastopol	Crimea
10	Dynamo	6000	FC Helios Kharkiv	Kharkiv
11	KSC Nika	5640	PFC Oleksandria	Kirovohrad
12	Fiolent	5000	FC Ihroservice Simferopol	Crimea
13	Enerhetyk Stadium	4000	FC Enerhetyk Burshtyn	Ivano-Frankivsk
14	Kniazha Arena	3220	FC Lviv	Lviv
15	STC Krymteplitsia	3000	FC Krymteplitsia Molodizhne	Crimea
16	Metalurh	2900	FC Stal Dniprodzerzhynsk	Dnipropetrovsk
17	Central City Stadium	1500	MFK Mykolaiv	Mykolaiv
18	Dukov Dniester Stadium	1500	FC Dniester Ovidiopol	Odessa
19	Obolon	4300	FC Obolon Kyiv	Kiev
20	Kalinino	1050	FC Feniks-Illichovets Kalinine	Crimea
