Couple	Style	Music	Choreographer(s)	Results
Mynte Lagoni Robin Peters	Hip-Hop	"One and Only"— Timbaland feat. Fall Out Boy	Filmon Michael	Peters in Bottom 6
Mynte Lagoni Robin Peters	Jive	" Shake a Tail Feather "— The Blues Brothers	Steen Lund	Peters in Bottom 6
Siv Gaustad Martin Gæbe	Disco	" D.A.N.C.E "— Justice	Tomas Glans	Gaustad in Bottom 6
Siv Gaustad Martin Gæbe	Hip-Hop	"The Time Is Now (Bambino Casino Mix)"— Moloko	Belinda Braza	Gaustad in Bottom 6
Huyen Huynh Egor Filipenko	Rumba	"Wonderful Tonight"— Michael Bublé	Steen Lund	Both eliminated
Huyen Huynh Egor Filipenko	Hip-Hop	"Cocaine"— Robin Thicke	Belinda Braza	Both eliminated
Mona Berntsen Ronni Morgenstjerne	Hip-Hop	" Run (I'm a Natural Disaster) "— Gnarls Barkley	Filmon Michael	Morgenstjerne in Bottom 6
Mona Berntsen Ronni Morgenstjerne	Afro	" Throb "— Janet Jackson	David Byer	Morgenstjerne in Bottom 6
Emma Hedlund Sergio Junior	Broadway	"Big Time"— Linda Eder	Toni Ferraz	Safe
Emma Hedlund Sergio Junior	Lyrical Jazz	"Talk to Me"—Gudny Aspaas	Tine Aspaas	Safe
Trinh Nguyen Daniel Koivunen	Contemporary Jazz	"Any Other World"— Mika	Knut Arild Flatner Karl-Erik Nedregaard	Nguyen in Bottom 6
Trinh Nguyen Daniel Koivunen	Cha-Cha	" Pata Pata "— Miriam Makeba	Steen Lund	Nguyen in Bottom 6
