Round	Pick	Position	Nationality	School/club team
1	1	C	Australia	Utah ( So. )
1	2	F	United States	North Carolina ( Fr. )
1	3	G	United States	Illinois ( Jr. )
1	4	G	United States	Wake Forest ( So. )
1	5	G	United States	North Carolina ( Jr. )
1	6	G/F	United States	Seattle Prep. School ( Seattle, WA ) HS Sr.
1	7	F	United States Dominican Republic	Connecticut ( So. )
1	8	C	United States	Arizona ( Sr. )
1	9	F	United States Nigeria	Arizona State ( Jr. )
1	10	C	United States	St. Joseph HS ( Metuchen, NJ ) HS Sr.
1	11	F/C	Spain	Unicaja Málaga ( Spain ) 1983
1	12	F	Russia	CSKA Moscow ( Russia ) 1987
1	13	F	United States	North Carolina ( Jr. )
1	14	G	United States	North Carolina ( Jr. )
1	15	G/F	United States	Texas A&M ( Jr. )
1	16	F	United States	Oklahoma State ( Sr. )
1	17	F	United States	New Mexico ( Sr. )
1	18	G/F	United States	Gulf Shores Academy ( Houston, TX ) HS Sr.
1	19	F	United States	Syracuse ( Sr. )
1	20	G	United States	NC State ( Sr. )
1	21	G	United States	Washington ( Jr. )
1	22	G	United States	Georgia Tech ( Jr. )
1	23	G/F	Dominican Republic	Louisville ( Jr. )
1	24	G	United States	Illinois ( Sr. )
1	25	C	France	Pau-Orthez ( France ) 1986
1	26	F	United States	Cincinnati ( Sr. )
1	27	F	Lithuania	Missouri ( So. )
1	28	F/C	France	Le Havre ( France ) 1986
1	29	F	United States	Kansas ( Sr. )
1	30	F	United States	Florida ( Sr. )
2	31	G	United States	Arizona ( Sr. )
2	32	G	United States	Duke ( Sr. )
2	33	F	United States	LSU ( So. )
2	34	G	United States	Skyline HS ( Dallas, TX ) HS Sr.
2	35	F	Puerto Rico	IMG Academy ( Bradenton, FL ) HS Sr.
2	36	F	Turkey	Ülkerspor ( Turkey ) 1987
2	37	F	France	Gonzaga ( Sr. )
2	38	G	United States	Marquette ( Sr. )
2	39	G	United States	Florida State ( So. )
2	40	G	United States	Lanier HS ( Jackson, MS ) HS Sr.
2	41	G	Croatia	KK Split ( Croatia ) 1985
2	42	F	United States	Pittsburgh ( So. )
2	43	C	Serbia and Montenegro	KK Reflex ( Serbia and Montenegro ) 1984
2	44	C	Lithuania	Žalgiris ( Lithuania ) 1986
2	45	G	United States	South Gwinnett HS ( Snellville, GA ) HS Sr.
2	46	F	Slovenia	Climamio Bologna ( Italy ) 1984
2	47	G	United States	Indiana ( Jr. )
2	48	F	France	Real Madrid ( Spain ) 1983
2	49	F	United States	South Kent School ( South Kent, CT ) HS Sr.
2	50	F	United States	Providence ( Sr. )
2	51	C	United States	Walsh ( Sr. )
2	52	F	Belgium	Real Madrid ( Spain ) 1983
2	53	G	United States	Louisiana-Lafayette ( Sr. )
2	54	G/F	United States	UCLA ( Sr. )
2	55	F	United States	Mississippi State ( Sr. )
2	56	F	United States	Westchester HS ( Los Angeles, CA ) HS Sr.
2	57	F/C	Poland	RheinEnergie Köln ( Germany ) 1984
2	58	F	Slovenia	Snaidero Udine ( Italy ) 1983
2	59	G	Turkey	Efes Pilsen ( Turkey ) 1987
2	60	G	United States	Pepperdine ( Jr. )
