Place	Player	Country	Score	To par	Money ( $ )
T1	Gary Player	South Africa	70-70-71-71=282	+2	Playoff
T1	Kel Nagle	Australia	68-73-72-69=282	+2	Playoff
3	Frank Beard	United States	74-69-70-71=284	+4	9,000
T4	Julius Boros	United States	72-75-70-70=287	+7	6,500
T4	Al Geiberger	United States	70-76-70-71=287	+7	6,500
T6	Bruce Devlin	Australia	72-73-72-71=288	+8	4,500
T6	Raymond Floyd	United States	72-72-76-68=288	+8	4,500
T8	Tony Lema	United States	72-74-73-70=289	+9	2,500
T8	Gene Littler	United States	73-71-73-72=289	+9	2,500
T8	Dudley Wysong	United States	72-75-70-72=289	+9	2,500
