Airing date	English title (Chinese title)	Number of episodes	Genre	Official website
20 Nov 2006- 5 Jan 2007	Dicey Business 賭場風雲	35	Modern drama	Official website
8 Jan- 9 Feb	The Brink of Law 突圍行動	25	Modern action	Official website
12 Feb- 9 Mar	Best Bet 迎妻接福	20	Costume comedy	Official website
12 Mar- 8 Apr	Life Art 寫意人生	20	Modern drama	Official website
9 Apr- 1 Jun	Heart of Greed 溏心風暴	40	Modern drama	Official website
4 Jun- 13 Jul	On The First Beat 學警出更	30	Modern action	Official website
16 Jul- 5 Oct	The Drive of Life 歲月風雲	60	Modern drama	Official website
8 Oct- 24 Nov	The Ultimate Crime Fighter 通天幹探	37	Modern action	Official website
26 Nov- 21 Dec	Marriage of Inconvenience 兩妻時代	20	Modern drama	Official website
24 Dec 2007- 18 Jan 2008	Survivor's Law II 律政新人王II	20	Modern drama	Official website
