Class	Ships in class	Pennant Number	Builder	Commissioned
Katanpää class	Katanpää	40	Intermarine S.p.A. , Sarzana , Italy	2012–
Katanpää class	Purunpää	41	Intermarine S.p.A. , Sarzana , Italy	2012–
Katanpää class	Vahterpää	42	Intermarine S.p.A. , Sarzana , Italy	2012–
Kuha class	Kuha 21	21	Laivateollisuus , Turku , Finland	1974–1975
Kuha class	Kuha 23	23	Laivateollisuus , Turku , Finland	1974–1975
Kuha class	Kuha 24	24	Laivateollisuus , Turku , Finland	1974–1975
Kuha class	Kuha 26	26	Laivateollisuus , Turku , Finland	1974–1975
Kiiski class	Kiiski 1	521	Fiskars Oy , Turku , Finland	1982–1984
Kiiski class	Kiiski 3	523	Fiskars Oy , Turku , Finland	1982–1984
Kiiski class	Kiiski 4	524	Fiskars Oy , Turku , Finland	1982–1984
Kiiski class	Kiiski 5	525	Fiskars Oy , Turku , Finland	1982–1984
Kiiski class	Kiiski 6	526	Fiskars Oy , Turku , Finland	1982–1984
Kiiski class	Kiiski 7	527	Fiskars Oy , Turku , Finland	1982–1984
