Block A	Akira	Atsushi Aoki	Black Tiger V	Jado	Milano Collection A.T.	Prince Devitt	Tiger Mask IV
Akira	X	Aoki (15:00)	Akira (12:52)	Jado (14:58)	Akira (11:17)	Devitt (9:53)	Akira (10:05)
Atsushi Aoki	Aoki (15:00)	X	Aoki (9:36)	Aoki (10:00)	Aoki (11:12)	Devitt (11:16)	T. Mask (10:27)
Black Tiger V	Akira (12:52)	Aoki (9:36)	X	Jado (11:26)	Milano (10:29)	Devitt (7:20)	B. Tiger (3:51)
Jado	Jado (14:58)	Aoki (10:00)	Jado (11:26)	X	Milano (16:22)	Devitt (12:54)	Jado (10:48)
Milano Collection A.T.	Akira (11:17)	Aoki (11:12)	Milano (10:29)	Milano (16:22)	X	Milano (15:22)	T. Mask (16:12)
Prince Devitt	Devitt (9:53)	Devitt (11:16)	Devitt (7:20)	Devitt (12:54)	Milano (15:22)	X	T. Mask (11:19)
Tiger Mask IV	Akira (10:05)	T. Mask (10:27)	B. Tiger (3:51)	Jado (10:48)	T. Mask (16:12)	T.Mask (11:19)	X
Block B	Jushin Liger	Koji Kanemoto	Kota Ibushi	Ryusuke Taguchi	Taichi	Tsuyoshi Kikuchi	Yamato
Jushin Liger	X	Kanemoto (17:27)	Ibushi (16:35)	Liger (10:08)	Liger (11:11)	Liger (8:30)	Yamato (3:38)
Koji Kanemoto	Kanemoto (17:27)	X	Kanemoto (14:18)	Kanemoto (17:11)	Kanemoto (12:05)	Kikuchi (9:18)	Yamato (9:40)
Kota Ibushi	Ibushi (16:35)	Kanemoto (14:18)	X	Taguchi (10:13)	Ibushi (11:59)	Ibushi (9:56)	Ibushi (10:13)
Ryusuke Taguchi	Liger (10:08)	Kanemoto (17:11)	Taguchi (10:13)	X	Taichi (10:01)	Taguchi (11:31)	Taguchi (13:17)
Taichi	Liger (11:11)	Kanemoto (12:05)	Ibushi (11:59)	Taichi (10:01)	X	Kikuchi (9:24)	Taichi (9:31)
Tsuyoshi Kikuchi	Liger (8:30)	Kikuchi (9:18)	Ibushi (9:56)	Taguchi (11:31)	Kikuchi (9:24)	X	Kikuchi (10:54)
Yamato	Yamato (3:38)	Yamato (9:40)	Ibushi (10:13)	Taguchi (13:17)	Taichi (9:31)	Kikuchi (10:54)	X
