CERCLIS ID	Name	County	Proposed	Listed
SC1890008989	Savannah River Site (USDOE)	Aiken	07/14/1989	11/21/1989
SCD058753971	Helena Chemical Co. Landfill	Allendale	06/24/1988	02/21/1990
SCD003357589	Shuron Inc.	Barnwell	06/17/1996	12/23/1996
SCD004773644	Independent Nail Co.	Beaufort	09/08/1983	09/21/1984
SCD094995503	Kalama Specialty Chemicals	Beaufort	09/08/1983	09/21/1984
SC6170022762	Parris Island Marine Corps Recruit Depot	Beaufort	08/23/1994	12/16/1994
SCD037405362	Wamchem, Inc.	Beaufort	09/08/1983	09/21/1984
SCD980711279	Geiger (C & M Oil)	Charleston	09/08/1983	09/21/1984
SCD980310239	Koppers Co., Inc. (Charleston Plant)	Charleston	02/07/1992	12/16/1994
SCD003360476	Macalloy Corporation	Charleston	10/22/1999	02/04/2000
SCD980558142	Medley Farm Drum Dump	Cherokee	06/10/1986	03/31/1989
SCD980558316	Carolawn, Inc.	Chester	12/30/1982	09/08/1983
SCD987577913	Brewer Gold Mine	Chesterfield	09/23/2004	04/27/2005
SCD003353026	Koppers Co., Inc. (Florence Plant)	Florence	09/08/1983	09/21/1984
SCD000447268	Beaunit Corp. (Circular Knit & Dye)	Greenville	06/24/1988	02/21/1990
SCD980799456	Golden Strip Septic Tank Service	Greenville	01/22/1987	07/22/1987
SCD002601656	Para-Chem Southern, Inc.	Greenville	10/26/1989	08/30/1990
SCD980840698	Rochester Property	Greenville	06/10/1986	10/04/1989
SCD003358744	US Finishing/Cone Mills	Greenville	03/10/2011	—
SCD980558043	Lexington County Landfill Area	Lexington	06/24/1988	10/04/1989
SCD003362217	Palmetto Wood Preserving	Lexington	09/08/1983	09/21/1984
SCD980711394	SCRDI Dixiana	Lexington	09/30/1997	09/08/1983
SCN000407714	Barite Hill/Nevada Goldfields	McCormick	09/03/2008	04/09/2009
SCD003354412	Sangamo Weston/Twelve-Mile/Hartwell PCB	Pickens	01/22/1987	02/21/1990
SCD037398120	Palmetto Recycling, Inc.	Richland	01/22/1987	07/22/1987
SCD000622787	SCRDI Bluff Road	Richland	12/30/1982	09/08/1983
SCD980558050	Townsend Saw Chain Co.	Richland	06/24/1988	02/21/90
SCD058754789	Aqua-Tech Environmental Inc (Groce Labs)	Spartanburg	08/23/1994	12/16/1994
SCD980839542	Elmore Waste Disposal	Spartanburg	06/24/1988	03/31/1989
SCD991279324	Leonard Chemical Co., Inc.	York	09/08/1983	09/21/1984
SCD980844005	Rock Hill Chemical Co.	York	06/24/1988	02/21/1990
