Year	Under-11	Under-13	Under-15	Under-17	Under-19
1999	did not play	unknown	unknown	Moises Galvez	Bernardo Samper
2000	did not play	Adil Maqbool	unknown	Jhie Gough	Moises Galvez
2001	did not play	Antonio Glez	Arturo Salazar Martinez	Mauricio Sanchez	Moises Galvez
2002	did not play	Kelly Shannon	Arturo Salazar Martinez	Jahanzeb Khan	Julian Illingworth
2003	did not play	Brian Hong	David Letourneau	Andrew Budd	Miguel Rodriguez
2004	unknown	Nicholas Sachvie	Kelly Shannon	Colin West	Miguel Rodriguez
2005	unknown	David Wardle	Arjun Gupta	Antonio Glez	Chris Sachvie
2006	unknown	Sam Conant	Nicholas Sachvie	Todd Harrity	Arturo Salazar Martinez
2007	Max Martin	Dylan Murray	David Wardle	Alfredo Avila	Mohammed Ali Anwar Reda
2008	David Yacobucci	Juan C Gomez	Ahmed Latif	Miled Zarazua	Todd Harrity
2009	Ryan Murray	Guillermo Cortes	Seif El Einen Jr	Ahmed Abdelhalim	Miled Zarazua
2010	Aly Abou El Einen	Mohamed El Shamy	Diego Elias	Fady Sarwat	Nicolas Sachvie
2011	Ayush Menon	Salim Khan	Mahmoud Yousry	Seif El Heinen	Ahmed Abdel Khalek
