Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 7	Rough Riders	Exhibition Stadium	W 23–21	29479	1–0–0
2	August 15	Alouettes	Exhibition Stadium	L 21–13	30769	1–1–0
3	August 20	@ Alouettes	Molson Stadium	L 16–1	22436	1–2–0
4	September 1	@ Rough Riders	Landsdowne Park	L 23–21	20221	1–3–0
5	September 7	@ Tiger-Cats	Civic Stadium	L 24–8	27156	1–4–0
6	September 13	Eskimos	Exhibition Stadium	W 35–22	21797	2–4–0
7	September 20	Tiger-Cats	Exhibition Stadium	L 27–14	27447	2–5–0
8	September 27	@ Blue Bombers	Winnipeg Stadium	W 36–24	14342	3–5–0
8	September 29	@ Stampeders	McMahon Stadium	L 30–25	15000	3–6–0
9	October 3	Lions	Exhibition Stadium	L 20–15	27249	3–7–0
10	October 12	@ Roughriders	Taylor Field	L 31–14	16048	3–8–0
11	October 18	Alouettes	Exhibition Stadium	W 31–10	21597	4–8–0
12	October 24	@ Tiger-Cats	Civic Stadium	L 27–7	30007	4–9–0
