Week	Date	Opponent	Home/Away Game	Result
1	March 4	Los Angeles Avengers	Away	W 66–58
2	March 9	Chicago Rush	Away	L 48–45
4	March 24	Georgia Force	Away	L 64–62
5	March 31	Tampa Bay Storm	Home	W 69–49
6	April 6	Colorado Crush	Home	W 72–44
7	April 13	New Orleans VooDoo	Away	L 67–54
8	April 21	Los Angeles Avengers	Home	W 73–49
9	April 28	Utah Blaze	Home	W 69–48
10	May 5	Arizona Rattlers	Away	W 56–49
11	May 12	Las Vegas Gladiators	Home	W 61–34
12	May 19	Grand Rapids Rampage	Home	W 69–44
13	May 25	Nashville Kats	Away	W 48–34
14	June 1	Orlando Predators	Home	W 59–52
15	June 9	Utah Blaze	Away	W 70–49
16	June 16	Arizona Rattlers	Home	W 66–26
17	June 23	Las Vegas Gladiators	Away	W 73–46
Divisional	July 7	Colorado Crush	Home	W 76–67
AC Championship	July 14	Chicago Rush	Home	W 61–49
ArenaBowl XXI	June 23	Columbus Destroyers	Neutral	W 55–33
