Tie no	Home team	Score	Away team	Attendance
21	Wroxham	0–2	King's Lynn	1,022
22	Leiston	1–0	Coalville Town	418
23	Dover Athletic	0–0	AFC Wimbledon	2,710
24	Evesham United	2–0	Chasetown	407
25	Halesowen Town	1–4	Maidstone United	872
26	Bishop's Stortford	2–1	Rugby Town	411
27	Harlow Town	1–1	Crowborough Athletic	609
28	Bury Town	1–0	Worthing	482
29	Atherstone Town	1–1	Chipstead	449
30	Ware	1–2	Sutton United	474
31	Havant & Waterlooville	2–1	Godalming Town	462
32	Horsham	2–1	Paulton Rovers	297
33	Basingstoke Town	2–2	Bashley	356
34	Oxford City	2–1	Chesham United	454
35	AFC Totton	5–2	Fleet Town	402
36	Ashford Town (Middx)	1–0	Chippenham Town	277
37	Frome Town	2–2	Team Bath	504
38	Burgess Hill Town	2–1	Eastleigh	336
39	Dorchester Town	1–0	Gosport Borough	436
40	Bath City	0–1	Aylesbury United	577
