Rank	Urban sub-area	Population	Status	Council area
1	Glasgow	589,900	City	Glasgow City
2	Edinburgh	468,720	City	City of Edinburgh
3	Aberdeen	189,120	City	Aberdeen City
4	Dundee	144,170	City	Dundee City
5	Paisley	74,570	Town	Renfrewshire
6	East Kilbride	73,590	Town	South Lanarkshire
7	Livingston	55,070	Town	West Lothian
8	Hamilton	51,640	Town	South Lanarkshire
9	Cumbernauld	50,470	Town	North Lanarkshire
10	Kirkcaldy and Dysart	49,560	Town	Fife
11	Dunfermline	48,240	Town	Fife
12	Ayr	46,060	Town	South Ayrshire
13	Perth	45,770	City	Perth and Kinross
14	Inverness	45,050	City	Highland
15	Kilmarnock	44,830	Town	East Ayrshire
16	Greenock	43,450	Town	Inverclyde
17	Coatbridge	41,610	Town	North Lanarkshire
18	Glenrothes	38,940	Town	Fife
19	Airdrie	35,950	Town	North Lanarkshire
20	Falkirk	35,170	Town	Falkirk
21	Stirling	34,790	City	Stirling
22	Irvine	32,490	Town	North Ayrshire
23	Rutherglen	31,730	Town	South Lanarkshire
24	Dumfries	31,630	Town	Dumfries and Galloway
25	Motherwell	31,390	Town	North Lanarkshire
26	Wishaw	28,890	Town	North Lanarkshire
27	Clydebank	28,780	Town	West Dunbartonshire
28	Bearsden	27,470	Town	East Dunbartonshire
29	Cambuslang	26,670	Town	South Lanarkshire
30	Buckhaven, Methil, Methilhill and Leven	24,850	Town	Fife
31	Newton Mearns	23,820	Town	East Renfrewshire
32	Bishopbriggs	22,860	Town	East Dunbartonshire
33	Musselburgh	22,640	Town	East Lothian
34	Arbroath	21,810	Town	Angus
35	Elgin	21,390	Town	Moray
36	Renfrew	20,810	Town	Renfrewshire
37	Alloa	20,110	Town	Clackmannanshire
38	Bellshill	19,930	Town	North Lanarkshire
39	Dumbarton	19,830	Town	West Dunbartonshire
40	Bathgate	19,220	Town	West Lothian
41	Kirkintilloch	19,020	Town	East Dunbartonshire
42	Peterhead	17,790	Town	Aberdeenshire
43	Blantyre	17,400	Town	South Lanarkshire
44	St Andrews	17,010	Town	Fife
45	Barrhead	17,000	Town	East Renfrewshire
46	Grangemouth	16,990	Town	Falkirk
47	Kilwinning	16,140	Town	North Ayrshire
48	Viewpark	16,100	Area*	North Lanarkshire
49	Johnstone	15,650	Town	Renfrewshire
50	Penicuik	15,650	Town	Midlothian
51	Erskine	15,420	Town	Renfrewshire
52	Larkhall	15,110	Town	South Lanarkshire
* Near Uddingston .	* Near Uddingston .	* Near Uddingston .	* Near Uddingston .	* Near Uddingston .
