Goal	Date	Venue	Score	Result	Competition
1.	25 April 1990	Råsunda , Stockholm	1–0	4–2	Friendly
2.	25 April 1990	Råsunda, Stockholm	2–0	4–2	Friendly
3.	27 May 1990	Råsunda, Stockholm	3–0	6–0	Friendly
4.	27 May 1990	Råsunda, Stockholm	4–0	6–0	Friendly
5.	10 June 1990	Stadio delle Alpi , Turin ,	1–2	1–2	1990 World Cup
6.	5 June 1991	Råsunda, Stockholm	1–0	2–2	Friendly
7.	5 June 1991	Ullevi , Gothenburg	1–0	2–3	Scania 100 Semi-finals
8.	5 June 1991	Ullevi, Gothenburg	2–2	2–3	Scania 100 Semi-finals
9.	15 June 1991	Idrottsparken , Norrköping	4–0	4–0	Scania 100 3rd place
10.	8 August 1991	Ullevaal Stadion , Oslo	1–1	2–1	Friendly
11.	14 June 1992	Råsunda, Stockholm	1–0	1–0	Euro 92
12.	17 June 1992	Råsunda, Stockholm	2–1	2–1	Euro 92
13.	17 June 1992	Råsunda, Stockholm	1–2	2–3	Euro 92 Semi-finals
14.	2 June 1993	Råsunda, Stockholm	1–0	5–0	1994 World Cup qualification
15.	2 June 1993	Råsunda, Stockholm	2–0	5–0	1994 World Cup qualification
16.	2 June 1993	Råsunda, Stockholm	4–0	5–0	1994 World Cup qualification
17.	20 April 1994	Racecourse Ground , Wrexham	0–2	0–2	Friendly
18.	5 June 1994	Råsunda, Stockholm	1–0	2–0	Friendly
19.	5 June 1994	Råsunda, Stockholm	2–0	2–0	Friendly
20.	24 June 1994	Pontiac Silverdome , Pontiac	1–1	3–1	1994 World Cup
21.	10 July 1994	Stanford Stadium , Palo Alto	1–0	2–2	1994 World Cup Quarter-finals
22.	16 July 1994	Rose Bowl , Pasadena	1–0	4–0	1994 World Cup 3rd place
23.	17 August 1994	Eyravallen , Örebro	1–0	4–2	Friendly
24.	17 August 1994	Eyravallen, Örebro	2–0	4–2	Friendly
25.	16 November 1994	Råsunda, Stockholm	1–0	2–0	Euro 96 qualifying
26.	1 June 1995	Råsunda, Stockholm	1–1	1–1	Euro 96 qualifying
27.	16 August 1995	Idrottsparken, Norrköping	1–0	1–0	Friendly
