Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1963	Bernd Frohnwieser	Hilde Themel	Bernd Frohnwieser Harald Pirsch	Mariča Amf Meta Bogel	Bernd Frohnwieser Hilde Themel
1964	Tomaž Pavčič	Mariča Amf	Oki Drinovec Jani Drinovec	Mariča Amf Meta Bogel	Helmut Kraule Breda Križman
1965	Michael Rawlings	Meta Bogel	Bernd Frohnwieser Harald Pirsch	Johanna Holzer Nina Pomahacová	Vladimir Zrno Alena Mládková
1966	Franz Beinvogl	Hilde Kreulitsch	Franz Beinvogl Rupert Liebl	Hilde Kreulitsch Anni Fritzer	Bernd Frohnwieser Hilde Kreulitsch
1967	Franz Beinvogl	Irena Červenková	Franz Beinvogl Jani Drinovec	Hilde Kreulitsch Anni Fritzer	Franz Beinvogl Inge Mönch
1968	no competition	no competition	no competition	no competition	no competition
1969	Otto Eckarth	Lučka Križman	Mitja Žorga Slavko Županič	Marta Amf Vita Bohinc	Slavko Županič Lučka Križman
1970	Danče Pohar	Lučka Križman	Otto Eckarth Rudi Mahin	Lučka Križman Breda Križman	Danče Pohar Mariča Amf
1971	Franz Beinvogl	Lučka Križman	Otto Eckarth Erich Mader	Lučka Križman Breda Križman	Franz Beinvogl Vita Bohinc
1972	no competition	no competition	no competition	no competition	no competition
1973	Stane Koprivšek	Lučka Križman	Gregor Berden Stane Koprivšek	Lučka Križman Marta Amf	Gregor Berden Marta Amf
1974	Stane Koprivšek	Ildikó Szabó	Gregor Berden Stane Koprivšek	Lučka Križman Marta Amf	Gregor Berden Marta Amf
1975	Otto Eckarth	Lučka Križman	Gregor Berden Slavko Županič	Éva Cserni Ildikó Szabó	Janos Cserni Éva Cserni
1976	Gregor Berden	Éva Cserni	Stane Koprivšek Jani Caleta	Erika Meisenhalter Herta Schwarz	Gregor Berden Marta Amf
1977 1992	no competition	no competition	no competition	no competition	no competition
1993	Hannes Fuchs	Andrea Harsági	Vladislav Druzschenko Valerij Strelcov	Elena Nozdran Ira Koloskova	Valerij Strelcov Elena Nozdran
1994	Jürgen Koch	Irina Serova	Fernando Silva Ricardo Fernandes	Svetlana Alferova Elena Denisova	Artur Khachaturyan Svetlana Alferova
1995	Denis Pešehonov	Maja Pohar	Stephan Schneider Markus Hegar	Maja Pohar Urša Jovan	Andrej Pohar Maja Pohar
1996	Pedro Vanneste	Sandra Dimbour	Manuel Dubrulle Vincent Laigle	Andrea Dakó Melinda Keszthelyi	Manuel Dubrulle Sandrie Lefevre
1997	Pedro Vanneste	Joanne Muggeridge	Kenny Middlemis Russel Hogg	Elinor Middlemis Sandra Watt	Kenny Middlemis Elinor Middlemis
1998	Andrej Pohar	Joanne Muggeridge	Mark Mancha Howard Bach	Joanne Muggeridge Felicity Gallup	Andrej Pohar Maja Pohar
1999	Richard Vaughan	Katja Michalowsky	Manuel Dubrulle Vincent Laigle	Corinne Jörg Fabienne Baumeyer	Andrej Pohar Maja Pohar
2000	Colin Haughton	Anne Maria Pedersen	Mathias Boe Michael Jensen	Britta Andersen Lene Mork	Mathias Boe Britta Andersen
2001	Nabil Lasmari	Maja Pohar	Nikolay Zuev Stanislav Pukhov	Elena Shimko Marina Yakusheva	Nikolay Zuev Marina Yakusheva
2002	Jürgen Koch	Petya Nedelcheva	Rasmus Andersen Carsten Mogensen	Ekaterina Ananina Anastasia Russkikh	Alexandr Russkikh Anastasia Russkikh
2003	Shōji Satō	Jill Pittard	Nikolay Zuev Nick Kidd	Marina Yakusheva Elena Shimko	Simon Archer Donna Kellogg
2004–2007	no competition	no competition	no competition	no competition	no competition
2008	Jan Vondra	Linda Zechiri	Michael Lahnsteiner Peter Zauner	Emelie Lennartsson Emma Wengberg	Vladimir Metodiev Gabriela Banova
2009	Harry Wright	Maja Tvrdy	Jürgen Koch Peter Zauner	Johanna Goliszewski Claudia Vogelgsang	Peter Zauner Simone Prutsch
2010	Pablo Abian	Lianne Tan	Ruud Bosch Koen Ridder	Natalia Pocztowiak Staša Poznanovič	Mao Hong Natalia Pocztowiak
2011	Hsu Jen-hao	Carola Bott	Lukasz Moren Wojciech Szkudlarczyk	Johanna Goliszewski Carla Nelte	Zvonimir Durkinjak Stasa Poznanovic
2012	Andrew Smith	Nicole Schaller	Zvonimir Durkinjak Zvonimir Hoelbling	Isabel Herttrich Inken Wienefeld	Zvonimir Durkinjak Stasa Poznanovic
2013	Ramdan Misbun	Marija Ulitina	Nikita Khakimov Vasily Kuznetsov	Alida Chen Soraya de Visch Eijbergen	Zvonimir Durkinjak Stasa Poznanovic
