Institution	Location	Founded	Type	Enrollment	Joined	Nickname
Briar Cliff University	Sioux City, Iowa	1930	Private	1150	2002	Chargers
Concordia University, Nebraska	Seward, Nebraska	1894	Private	2200	1969	Bulldogs
Dakota Wesleyan University	Mitchell, South Dakota	1885	Private	780	2000	Tigers
Doane College	Crete, Nebraska	1872	Private	1000	1969	Tigers
Dordt College	Sioux Center, Iowa	1955	Private	1400	2000	Defenders
Hastings College	Hastings, Nebraska	1882	Private	1150	1969	Broncos
Midland University	Fremont, Nebraska	1883	Private	946	1969	Warriors
Morningside College	Sioux City, Iowa	1894	Private	1272	2003	Mustangs
Mount Marty College 1	Yankton, South Dakota	1936	Private	1100	2000	Lancers
Nebraska Wesleyan University 2	Lincoln, Nebraska	1887	Private	1600	1969	Prairie Wolves
