Name	Number of sequences Number of sequences: .	Alignment Alignment: predicts an alignment , .	Structure Structure: predicts structure , .	Knots Knots: Pseudoknot prediction, .	Link
Carnac	any	no	yes	no	sourcecode, webserver
CentroidAlifold	any	no	yes	no	sourcecode webserver
CentroidAlign	any	yes	no	no	sourcecode
CMfinder	3\le seqs \le60	yes	yes	no	sourcecode, webserver, website
CONSAN	2	yes	yes	no	sourcecode
DAFS	any	yes	yes	yes	sourcecode
Dynalign	2	yes	yes	no	sourcecode
FoldalignM	any	yes	yes	no	sourcecode
FRUUT	any	yes	input	no	sourcecode, webserver
GraphClust	any	yes	yes	no	sourcecode
KNetFold	any	input	yes	yes	linuxbinary, webserver
LARA	any	yes	yes	no	sourcecode
LocaRNA	any	yes	yes	no	sourcecode, webserver
MASTR	any	yes	yes	no	sourcecode
Multilign	any	yes	yes	no	sourcecode
Murlet	any	yes	yes	no	webserver
MXSCARNA	any	yes	yes	no	webserver sourcecode
PARTS	2	yes	yes	no	sourcecode
Pfold	\le40	input	yes	no	webserver
PETfold	any	input	yes	no	sourcecode
PMcomp/PMmulti	2\le seqs \le6	yes	yes	no	sourcecode, webserver
RNAG	any	yes	yes	no	sourcecode
R-COFFEE	any	yes	yes	no	sourcecode, webserver
TurboFold	any	no	yes	yes	sourcecode
RNA123	any	yes	yes	yes	webserver
RNAalifold	any	input	yes	no	homepage
RNAcast	any	no	yes	no	sourcecode, webserver
RNAforester	any	yes	input	no	sourcecode, webserver
RNAmine	any	no	yes	no	webserver
RNASampler	any	yes	yes	yes	sourcecode
SCARNA	2	yes	yes	no	webserver
SimulFold	any	yes	yes	yes	sourcecode
Stemloc	any	yes	yes	no	sourcecode
StrAl	\le50	yes	no	no	sourcecode, webserver
TFold	any	yes	yes	yes	webserver
WAR	2\le seqs \le50	yes	yes	no	webserver
Xrate	any	yes	yes	no	sourcecode
Notes:	Notes:	Notes:	Notes:	Notes:	Notes:
