Team	Location	Venue	Capacity	Position in 2006
BATE	Borisov	City Stadium	5,500	1
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	2
Shakhtyor	Soligorsk	Stroitel	5,000	3
MTZ-RIPO	Minsk	Traktor	17,600	4
Gomel	Gomel	Central, Gomel	11,800	5
Vitebsk	Vitebsk	Central, Vitebsk	8,300	6
Naftan	Novopolotsk	Atlant	6,500	7
Darida	Minsk Raion	Darida	6,000	8
Dinamo Brest	Brest	OSK Brestskiy	10,080	9
Neman	Grodno	Neman	6,300	10
Torpedo	Zhodino	Torpedo, Zhodino	3,020	11
Dnepr	Mogilev	Spartak, Mogilev	11,200	12
Minsk	Minsk	Torpedo, Minsk	5,200	First league , 1
Smorgon	Smorgon	Yunost	3,500	First league , 2
