Rank	Rider	Country	Winning span	MotoGP/500cc	350cc	Moto2/250cc	Moto3/125cc	80cc/50cc	Total
1	Giacomo Agostini Category:Articles with hCards	Italy	1966–1975	8	7	0	0	0	15
2	Ángel Nieto Category:Articles with hCards	Spain	1969–1984	0	0	0	7	6	13
3	Valentino Rossi Category:Articles with hCards	Italy	1997–2009	7	0	1	1	0	9
3	Mike Hailwood Category:Articles with hCards	United Kingdom	1961–1967	4	2	3	0	0	9
3	Carlo Ubbiali Category:Articles with hCards	Italy	1951–1960	0	0	3	6	0	9
6	John Surtees Category:Articles with hCards	United Kingdom	1956–1960	4	3	0	0	0	7
6	Phil Read Category:Articles with hCards	United Kingdom	1964–1974	2	0	4	1	0	7
8	Geoff Duke Category:Articles with hCards	United Kingdom	1951–1955	4	2	0	0	0	6
8	Jim Redman Category:Articles with hCards	Rhodesia	1962–1965	0	4	2	0	0	6
10	Mick Doohan Category:Articles with hCards	Australia	1994–1998	5	0	0	0	0	5
10	Anton Mang Category:Articles with hCards	Germany	1980–1987	0	2	3	0	0	5
12	Eddie Lawson Category:Articles with hCards	United States	1984–1989	4	0	0	0	0	4
12	Jorge Lorenzo Category:Articles with hCards	Spain	2006–2012	2	0	2	0	0	4
12	Kork Ballington Category:Articles with hCards	South Africa	1978–1979	0	2	2	0	0	4
12	Walter Villa Category:Articles with hCards	Italy	1974–1976	0	1	3	0	0	4
12	Max Biaggi Category:Articles with hCards	Italy	1994–1997	0	0	4	0	0	4
12	Hugh Anderson Category:Articles with hCards	New Zealand	1963–1965	0	0	0	2	2	4
12	Jorge Martínez Category:Articles with hCards	Spain	1986–1988	0	0	0	1	3	4
12	Stefan Dörflinger Category:Articles with hCards	Switzerland	1982–1985	0	0	0	0	4	4
20	Kenny Roberts Category:Articles with hCards	United States	1978–1980	3	0	0	0	0	3
20	Wayne Rainey Category:Articles with hCards	United States	1990–1992	3	0	0	0	0	3
20	Freddie Spencer Category:Articles with hCards	United States	1983–1985	2	0	1	0	0	3
20	Bruno Ruffo Category:Articles with hCards	Italy	1949–1951	0	0	2	1	0	3
20	Werner Haas Category:Articles with hCards	Germany	1953–1954	0	0	2	1	0	3
20	Luca Cadalora Category:Articles with hCards	Italy	1986–1992	0	0	2	1	0	3
20	Dani Pedrosa Category:Articles with hCards	Spain	2003–2005	0	0	2	1	0	3
20	Loris Capirossi Category:Articles with hCards	Italy	1990–1998	0	0	1	2	0	3
20	Luigi Taveri Category:Articles with hCards	Switzerland	1962–1966	0	0	0	3	0	3
20	Pier Paolo Bianchi Category:Articles with hCards	Italy	1976–1980	0	0	0	3	0	3
20	Hans Georg Anscheidt Category:Articles with hCards	Germany	1966–1968	0	0	0	0	3	3
20	Eugenio Lazzarini Category:Articles with hCards	Italy	1978–1980	0	0	0	1	2	3
32	Umberto Masetti Category:Articles with hCards	Italy	1950–1952	2	0	0	0	0	2
32	Barry Sheene Category:Articles with hCards	United Kingdom	1976–1977	2	0	0	0	0	2
32	Casey Stoner Category:Articles with hCards	Australia	2007–2011	2	0	0	0	0	2
32	Gary Hocking Category:Articles with hCards	Rhodesia	1961	1	1	0	0	0	2
32	Àlex Crivillé Category:Articles with hCards	Spain	1989–1999	1	0	0	1	0	2
32	Bill Lomas Category:Articles with hCards	United Kingdom	1955–1956	0	2	0	0	0	2
32	Fergus Anderson Category:Articles with hCards	United Kingdom	1953–1954	0	2	0	0	0	2
32	Carlos Lavado Category:Articles with hCards	Venezuela	1983–1986	0	0	2	0	0	2
32	Sito Pons Category:Articles with hCards	Spain	1988–1989	0	0	2	0	0	2
32	Cecil Sandford Category:Articles with hCards	United Kingdom	1952–1957	0	0	1	1	0	2
32	Tarquinio Provini Category:Articles with hCards	Italy	1957–1958	0	0	1	1	0	2
32	Dieter Braun Category:Articles with hCards	Germany	1970–1973	0	0	1	1	0	2
32	Manuel Poggiali Category:Articles with hCards	San Marino	2001–2003	0	0	1	1	0	2
32	Marc Márquez Category:Articles with hCards	Spain	2010-2012	0	0	1	1	0	2
32	Kent Andersson Category:Articles with hCards	Sweden	1973–1974	0	0	0	2	0	2
32	Fausto Gresini Category:Articles with hCards	Italy	1985–1987	0	0	0	2	0	2
32	Kazuto Sakata Category:Articles with hCards	Japan	1994–1998	0	0	0	2	0	2
32	Haruchika Aoki Category:Articles with hCards	Japan	1995–1996	0	0	0	2	0	2
32	Jan de Vries Category:Articles with hCards	Netherlands	1971–1973	0	0	0	0	2	2
32	Ricardo Tormo Category:Articles with hCards	Spain	1978–1981	0	0	0	0	2	2
51	Leslie Graham Category:Articles with hCards	United Kingdom	1949	1	0	0	0	0	1
51	Libero Liberati Category:Articles with hCards	Italy	1957	1	0	0	0	0	1
51	Marco Lucchinelli Category:Articles with hCards	Italy	1981	1	0	0	0	0	1
51	Franco Uncini Category:Articles with hCards	Italy	1982	1	0	0	0	0	1
51	Wayne Gardner Category:Articles with hCards	Australia	1987	1	0	0	0	0	1
51	Kevin Schwantz Category:Articles with hCards	United States	1993	1	0	0	0	0	1
51	Kenny Roberts, Jr. Category:Articles with hCards	United States	2000	1	0	0	0	0	1
51	Nicky Hayden Category:Articles with hCards	United States	2006	1	0	0	0	0	1
51	Freddie Frith Category:Articles with hCards	United Kingdom	1949	0	1	0	0	0	1
51	Bob Foster Category:Articles with hCards	United Kingdom	1950	0	1	0	0	0	1
51	Keith Campbell Category:Articles with hCards	Australia	1957	0	1	0	0	0	1
51	Johnny Cecotto Category:Articles with hCards	Venezuela	1975	0	1	0	0	0	1
51	Takazumi Katayama Category:Articles with hCards	Japan	1977	0	1	0	0	0	1
51	Jon Ekerold Category:Articles with hCards	South Africa	1980	0	1	0	0	0	1
51	Dario Ambrosini Category:Articles with hCards	Italy	1950	0	0	1	0	0	1
51	Enrico Lorenzetti Category:Articles with hCards	Italy	1952	0	0	1	0	0	1
51	Hermann Paul Müller Category:Articles with hCards	Germany	1955	0	0	1	0	0	1
51	Rodney Gould Category:Articles with hCards	United Kingdom	1970	0	0	1	0	0	1
51	Kel Carruthers Category:Articles with hCards	Australia	1969	0	0	1	0	0	1
51	Jarno Saarinen Category:Articles with hCards	Finland	1972	0	0	1	0	0	1
51	Mario Lega Category:Articles with hCards	Italy	1977	0	0	1	0	0	1
51	Jean-Louis Tournadre Category:Articles with hCards	France	1982	0	0	1	0	0	1
51	Christian Sarron Category:Articles with hCards	France	1984	0	0	1	0	0	1
51	John Kocinski Category:Articles with hCards	United States	1990	0	0	1	0	0	1
51	Tetsuya Harada Category:Articles with hCards	Japan	1993	0	0	1	0	0	1
51	Olivier Jacque Category:Articles with hCards	France	2000	0	0	1	0	0	1
51	Daijiro Kato Category:Articles with hCards	Japan	2001	0	0	1	0	0	1
51	Marco Melandri Category:Articles with hCards	Italy	2002	0	0	1	0	0	1
51	Marco Simoncelli Category:Articles with hCards	Italy	2008	0	0	1	0	0	1
51	Hiroshi Aoyama Category:Articles with hCards	Japan	2009	0	0	1	0	0	1
51	Toni Elías Category:Articles with hCards	Spain	2010	0	0	1	0	0	1
51	Stefan Bradl Category:Articles with hCards	Germany	2011	0	0	1	0	0	1
51	Pol Espargaró Category:Articles with hCards	Spain	2013	0	0	1	0	0	1
51	Nello Pagani Category:Articles with hCards	Italy	1949	0	0	0	1	0	1
51	Rupert Hollaus Category:Articles with hCards	Austria	1954	0	0	0	1	0	1
51	Tom Phillis Category:Articles with hCards	Australia	1961	0	0	0	1	0	1
51	Bill Ivy Category:Articles with hCards	United Kingdom	1967	0	0	0	1	0	1
51	Dave Simmonds Category:Articles with hCards	United Kingdom	1969	0	0	0	1	0	1
51	Paolo Pileri Category:Articles with hCards	Italy	1975	0	0	0	1	0	1
51	Alessandro Gramigni Category:Articles with hCards	Italy	1992	0	0	0	1	0	1
51	Dirk Raudies Category:Articles with hCards	Germany	1993	0	0	0	1	0	1
51	Emilio Alzamora Category:Articles with hCards	Spain	1999	0	0	0	1	0	1
51	Roberto Locatelli Category:Articles with hCards	Italy	2000	0	0	0	1	0	1
51	Arnaud Vincent Category:Articles with hCards	France	2002	0	0	0	1	0	1
51	Andrea Dovizioso Category:Articles with hCards	Italy	2004	0	0	0	1	0	1
51	Thomas Lüthi Category:Articles with hCards	Switzerland	2005	0	0	0	1	0	1
51	Álvaro Bautista Category:Articles with hCards	Spain	2006	0	0	0	1	0	1
51	Gábor Talmácsi Category:Articles with hCards	Hungary	2007	0	0	0	1	0	1
51	Mike Di Meglio Category:Articles with hCards	France	2008	0	0	0	1	0	1
51	Julián Simón Category:Articles with hCards	Spain	2009	0	0	0	1	0	1
51	Nicolás Terol Category:Articles with hCards	Spain	2011	0	0	0	1	0	1
51	Sandro Cortese Category:Articles with hCards	Germany	2012	0	0	0	1	0	1
51	Ernst Degner Category:Articles with hCards	Germany	1962	0	0	0	0	1	1
51	Ralph Bryans Category:Articles with hCards	United Kingdom	1965	0	0	0	0	1	1
51	Henk van Kessel Category:Articles with hCards	Netherlands	1974	0	0	0	0	1	1
