Res.	Record	Opponent	Method	Event	Round	Location
Win	42-27-10	Yukinari Tamura	Decision (majority)	Pancrase - Progress Tour 1	2	Tokyo , Japan
Win	41-27-10	Shingo Suzuki	KO (punches)	Pancrase - Impressive Tour 13	1	Tokyo , Japan
Win	40-27-10	Yoshihisa Yamamoto	Decision (unanimous)	Grabaka Live - 1st Cage Attack	2	Tokyo , Japan
Win	39-27-10	Ichiro Kanai	Decision (majority)	Pancrase - Impressive Tour 8	2	Tokyo , Japan
Draw	38-27-10	Kosei Kubota	Draw	Pancrase - Impressive Tour 1	2	Tokyo , Japan
Loss	38-27-9	Masahiro Toryu	KO (head kick)	Pancrase - Passion Tour 11	1	Tokyo , Japan
Win	38-26-9	Hoon Kim	Decision (majority)	Pancrase - Passion Tour 7	2	Tokyo , Japan
Loss	37-26-9	Kengo Ura	Decision (split)	Pancrase - Passion Tour 5	3	Tokyo , Japan
Win	37-25-9	Takenori Sato	Decision (majority)	Pancrase - Passion Tour 3	2	Tokyo , Japan
Loss	36-25-9	Yuji Hisamatsu	Decision (majority)	Pancrase - Passion Tour 1	3	Tokyo , Japan
Win	36-24-9	Ryuji Ohori	KO	Pancrase - Changing Tour 3	1	Tokyo , Japan
Loss	35-24-9	Alexandre Ribeiro	KO (punch)	Sengoku 8	3	Tokyo , Japan
Loss	35-23-9	Ryo Kawamura	Decision (unanimous)	Pancrase - Shining 8	3	Tokyo , Japan
Win	35-22-9	Hiromitsu Kanehara	Decision (unanimous)	Pancrase - Shining 5	3	Tokyo , Japan
Win	34-22-9	Yuki Kondo	Decision (majority)	Pancrase - Shining 3	3	Tokyo , Japan
Win	33-22-9	Ryo Kawamura	Decision (unanimous)	Pancrase - Rising 10	3	Tokyo , Japan
Draw	32-22-9	Carlos Toyota	Draw	MARS 6 - Rapid Fire	2	Yokohama , Japan
Loss	32-22-8	Mikko Rupponen	Decision (unanimous)	FF 17 - Fight Festival 17	3	Finland
Loss	32-21-8	Dae Won Kim	Decision (unanimous)	DEEP - 20th Impact	2	Tokyo , Japan
