Game	Date	Opponent	Score	Location Attendance	Record
2	November 1	vs Denver Nuggets	W 102-84	Delta Center 19,911	1-1
Game	Date	Opponent	Score	Location Attendance	Record
3	November 3	vs Washington Wizards	L 86-90	Delta Center 19,911	1-2
4	November 4	at Phoenix Suns	L 84-106	America West Arena 19,023	1-3
5	November 7	at Denver Nuggets	W 91-89	McNichols Sports Arena 10,317	2-3
6	November 8	at San Antonio Spurs	L 80-87	Alamodome	2-4
7	November 12	vs Vancouver Grizzlies	W 98-90	Delta Center	3-4
8	November 14	vs Seattle SuperSonics	W 110-104	Delta Center	4-4
9	November 15	at Dallas Mavericks	W 85-77	Reunion Arena	5-4
10	November 18	vs Los Angeles Lakers	L 92-97	Delta Center	5-5
11	November 20	at Sacramento Kings	L 95-97	ARCO Arena	5-6
12	November 22	vs San Antonio Spurs	W 103-74	Delta Center	6-6
13	November 24	vs Minnesota Timberwolves	W 133-124 (OT)	Delta Center	7-6
14	November 28	vs Golden State Warriors	W 111-82	Delta Center	8-6
15	November 29	at Los Angeles Clippers	W 94-91	Los Angeles Memorial Sports Arena	9-6
