Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Apr 4	Michelob Senior Classic	Florida	125000	Don January (4)	278 (-10)	20000
Jun 13	Marlboro Classic	Massachusetts	150000	Arnold Palmer (3)	276 (-8)	25000
Jun 27	Peter Jackson Champions	Canada	200000	Bob Goalby (2)	273 (-15)	32500
Jul 11	U.S. Senior Open	Oregon	150000	Miller Barber (4)	282 (-2)	28648
Aug 15	Denver Post Champions of Golf	Colorado	150000	Arnold Palmer (4)	275 (-5)	25000
Aug 22	Greater Syracuse Senior's Pro Golf Classic	New York	150000	Bill Collins (1)	285 (1)	25000
Aug 28	Shootout at Jeremy Ranch	Utah	150000	Billy Casper (1)	279 (-9)	25000
Sep 19	Merrill Lynch/Golf Digest Commemorative Pro-Am	Rhode Island	125000	Billy Casper (2)	206 (-10)	22500
Oct 17	Suntree Classic	Florida	135000	Miller Barber (5)	264 (-24)	22500
Oct 24	Hilton Head Seniors International	South Carolina	112500	Miller Barber (6) Dan Sikes (1)	138 (-6)	15000
