Round	Pick	Player	Position	School/Club Team
1	19	Perry Tuttle	Wide receiver	Clemson
2	48	Matt Kofler	Quarterback	San Diego State
3	59	Eugene Marve	Linebacker	Saginaw Valley State
4	93	Van Williams	Running back	Carson-Newman
6	160	DeWayne Chivers	Tight end	South Carolina
7	171	Gary Anderson	Kicker	Syracuse
8	218	Luc Tousignant	Quarterback	Fairmont State
9	245	Dennis Edwards	Defensive end	USC
10	272	Vic James	Defensive back	Colorado
11	298	Frank Kalil	Guard	Arizona
12	329	Tony Suber	Defensive tackle	Gardner-Webb
