Event	Record	Nationality	Date	Games
100 m	11.28 (heat)	Bermuda	11 April 1998	1998 Port of Spain
200 m	23.03 (heat)	Jamaica	31 March 2002	2002 Nassau
400 m	53.36	Bahamas	3 April 2010	2010 Georgetown
800 m	2:09.59	Jamaica	17 April 2006	2006 Les Abymes
1500 m	4:32.70	Jamaica	15 April 2006	2006 Les Abymes
3000 m	10:00.23	Antigua and Barbuda	4 April 1999	1999 Fort-de-France
100 m hurdles (76.2cm)	13.51	Jamaica	5 April 1999	1999 Fort-de-France
300 m hurdles	41.30	Jamaica	12 April 2009	2009 Vieux Fort
High jump	1.85 m	Barbados	3 April 2010	2010 Georgetown
Long jump	6.14 m	Bahamas	April 1987	1987 Port of Spain
Triple jump	12.61 m	Jamaica	12 April 2009	2009 Vieux Fort
Shot put (3kg)	14.48 m	Trinidad and Tobago	30 March 2013	2013 Nassau
Shot put	14.29 m	Martinique	3 April 1999	1999 Fort-de-France
Discus throw (1.0kg)	43.99 m	Jamaica	8 April 2012	2012 Hamilton
Javelin throw (500 g)	43.89 m	Dominica	31 March 2013	2013 Nassau
Javelin throw 600g old spec. (-1998)	43.66 m	Martinique	April 1997	1997 Bridgetown
Javelin throw 600g new spec. (1999-)	42.90 m	Barbados	9 April 2007	2007 Providenciales
4×100 m relay	45.05	Jamaica	12 April 2009	2009 Vieux Fort
4×400 m relay	3:38.09	Jamaica	13 April 2009	2009 Vieux Fort
