Week	Date	Opponent	Result	Attendance
1	September 7, 1980	Denver Broncos	W 27–6	70,307
2	September 14, 1980	at Minnesota Vikings	W 42–7	46,460
3	September 22, 1980	New York Giants	W 35–3	70,767
4	September 28, 1980	at St. Louis Cardinals	L 24–14	49,079
5	October 5, 1980	Washington Redskins	W 24–14	69,044
6	October 12, 1980	at New York Giants	W 31–16	71,051
7	October 19, 1980	Dallas Cowboys	W 17–10	70,696
8	October 26, 1980	Chicago Bears	W 17–14	68,752
9	November 2, 1980	at Seattle Seahawks	W 27–20	61,047
10	November 9, 1980	at New Orleans Saints	W 34–21	44,340
11	November 16, 1980	at Washington Redskins	W 24–0	51,897
12	November 23, 1980	Oakland Raiders	W 10–7	68,535
13	November 30, 1980	at San Diego Chargers	L 22–21	51,567
14	December 7, 1980	Atlanta Falcons	L 20–17	70,205
15	December 14, 1980	St. Louis Cardinals	W 17–3	68,969
16	December 21, 1980	at Dallas Cowboys	L 35–27	62,548
