Date	Opponent	Score	Loss	Attendance	Record	Streak
March 31	Rockies	9-2 L	A. Benes	47,484	0-1	Loss 1
April 1	Rockies	6-0 L	W. Blair	43,758	0-2	Loss 2
April 2	Rockies	6-4 L	B. Anderson	42,876	0-3	Loss 3
April 3	Giants	8-3 L	J. Suppan	45,590	0-4	Loss 4
April 4	Giants	5-3 L	G. Olson	47,047	0-5	Loss 5
April 5	Giants	3-2 W	S. Estes	47,593	1-5	Win 1
April 7	@Dodgers	9-1 L	W. Blair	52,424	1-6	Loss 1
April 8	@Dodgers	3-0 W	H. Nomo	37,016	2-6	Win 1
April 9	@Dodgers	7-2 L	J. Suppan	39,541	2-7	Loss 1
April 10	@Padres	6-4 L	F. Rodriguez	27,246	2-8	Loss 2
April 11	@Padres	7-0 L	J. Adamson	37,753	2-9	Loss 3
April 12	@Padres	4-2 L	W. Blair	26,217	2-10	Loss 4
April 13	@Padres	1-0 L	B. Anderson	36,278	2-11	Loss 5
April 14	@Cardinals	15-5 L	C. Sudowsky	31,477	2-12	Loss 6
April 16(1)	@Cardinals	5-4 L	J. Adamson	N/A	2-13	Loss 7
April 16(2)	@Cardinals	8-2 W	D. Osborne	32,039	3-13	Win 1
April 17	Marlins	7-5 W	V. Darensbourgh	47,401	4-13	Win 2
April 18	Marlins	7-5 W	A. Alfonseca	49,910	5-13	Win 3
April 19	Marlins	4-3 L	J. Suppan	47,339	5-14	Loss 1
April 20	Marlins	15-4 W	L. Hernandez	45,256	6-14	Win 1
April 22	@Braves	5-2 L	A. Benes	30,952	6-15	Loss 1
April 23	@Braves	3-1 L	W. Blair	33,013	6-16	Loss 2
April 24	@Braves	6-5 L	R. Springer	41,514	6-17	Loss 3
April 25	@Marlins	4-3(11) W	V. Darensbourogh	28,710	7-17	Win 1
April 26	@Marlins	12-6 L	J. Adamson	24,782	7-18	Loss 1
