Rank	Name	Nation	SP+FS	Points	Places
1	Suzie Brasher	United States	1	174.22	11
2	Garnet Ostermeier	West Germany	2	169.80	16
3	Tracy Solomons	United Kingdom	4	162.82	31
4	Christa Jorda	Austria	3	160.94	35
5	Shinobu Watanabe	Japan	5	156.68	47
6	Young-Soon Choo	South Korea	8	151.66	60
7	Sanda Dubravčić	Yugoslavia	5	151.08	63
8	Renata Baierova	Czechoslovakia	7	148.08	70
9	Christine Eicher	Switzerland	10	147.46	72
10	Vicki Hollande	Australia	9	135.20	94
11	Genevieve Schoumaker	Belgium	11	128.44	106
12	Sylvia Doulat	France	14	125.78	112
13	Irina Nichifolov	Romania	12	125.12	113
14	Herma van der Horst	Netherlands	13	127.26	115
15	Eveline Panova	Bulgaria	15	112.58	135
