IN No.	County Name	County Seat	Time Zone	Population (2010) (Rank)	Area sq mi (km 2 ) (Rank)	Twps	ZIP code Prefix(es)	% of Boundary by water
14	Daviess	Washington	Eastern	32,200 (6)	sqmi (km2) (3)	10	475	55%
19	Dubois	Jasper	Eastern	41,889 (3)	sqmi (km2) (4)	12	475	24%
26	Gibson	Princeton	Central	33,503 (5)	sqmi (km2) (1)	10	475/476	59%
42	Knox	Vincennes	Eastern	38,440 (4)	sqmi (km2) (2)	10	475/478	84%
51	Martin	Shoals	Eastern	10,334 (11)	sqmi (km2) (10)	6	475	18%
62	Perry	Tell City	Central	19,338 (9)	sqmi (km2) (8)	7	474/475	52%
63	Pike	Petersburg	Eastern	12,845 (10)	sqmi (km2) (9)	9	475/476	35%
65	Posey	Mt. Vernon	Central	25,940 (7)	sqmi (km2) (5)	10	476	63%
74	Spencer	Rockport	Central	20,942 (8)	sqmi (km2) (7)	9	475/476	73%
82	Vanderburgh	Evansville	Central	179,703 (1)	sqmi (km2) (11)	8	476/477	26%
87	Warrick	Boonville	Central	59,689 (2)	sqmi (km2) (6)	10	475/476/477	19%
